time,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,joy_axis_0,joy_axis_1,Euler_angle_0,Euler_angle_1,Euler_angle_2,odom_pos_x,odom_pos_y,odom_pos_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z
1750344179.2646265,-0.28924560546875,0.66680908203125,0.090087890625,0.680908203125,-9.41,-2.68,-0.55,0.95,0.42,-0.7,0.0,0.0,0.0,0.0,0.0,-0.0005026533892651295,-9.364632966384772e-07,0.0,0.0,0.0,0.0014612054190719286,0.9999989324387918,0.0003148336417463141,0.0,0.0,0.0,0.0,0.0007297836402921162
1750344179.4145467,-0.28521728515625,0.6690673828125,0.08782958984375,0.6806640625,-9.42,-2.65,-0.56,0.33,-0.13,-0.5,0.0,0.0,0.0,0.0,0.0,-0.00018849582003256383,9.64004621912391e-08,0.0,0.0,0.0,0.0018265064049833128,0.999998331935785,0.000628449892445648,0.0,0.0,0.0,0.0,0.001459123758197544
1750344179.5645475,-0.28387451171875,0.67376708984375,0.08282470703125,0.67718505859375,-9.41,-2.67,-0.67,-0.14,0.04,-0.06,0.0,0.0,0.0,0.0,0.0,-0.00018849582003256383,9.64004621912391e-08,0.0,0.0,0.0,0.0018265064049833128,0.999998331935785,-2.6641909768067296e-07,0.0,0.0,0.0,0.0,0.0014592998151077877
1750344179.7205324,-0.28009033203125,0.67828369140625,0.07379150390625,0.67529296875,-9.38,-2.72,-0.75,-0.05,0.19,0.02,0.0,0.0,0.0,0.0,0.0,-0.00018849582003256383,9.64004621912391e-08,0.0,0.0,0.0,0.0018265064049833128,0.999998331935785,-6.34613183222533e-05,0.0,0.0,0.0,0.0,0.0016062646970253986
1750344179.8739002,-0.2781982421875,0.67791748046875,0.06512451171875,0.67730712890625,-9.36,-2.82,-0.72,-0.45,0.11,-0.06,0.0,0.0,0.0,0.0,0.0,-0.00018849582003256383,9.64004621912391e-08,0.0,0.0,0.0,0.0018265064049833128,0.999998331935785,6.226785025410385e-05,0.0,0.0,0.0,0.0,0.0013138712817315447
1750344180.0242972,-0.2847900390625,0.6778564453125,0.05255126953125,0.67578125,-9.27,-3.07,-0.79,0.18,0.11,-0.28,0.0,0.0,0.0,0.0,0.0,-0.00018849582003256383,9.64004621912391e-08,0.0,0.0,0.0,0.0018265064049833128,0.999998331935785,0.00031361625069933414,0.0,0.0,0.0,0.0,0.0007293401179054277
1750344180.1740067,-0.29376220703125,0.6761474609375,0.04150390625,0.67437744140625,-9.18,-3.33,-0.85,-0.04,-0.47,-0.19,0.0,0.0,0.0,0.0,0.0,-0.00037698997431437635,-6.334894461106781e-07,0.0,0.0,0.0,0.0020456868878536002,0.9999979075803893,0.00012532014571520214,0.0,0.0,0.0,0.0,0.0011672380364731766
1750344180.316172,-0.30572509765625,0.6715087890625,0.04595947265625,0.67340087890625,-9.14,-3.43,-0.87,-0.36,-0.29,-0.03,0.0,0.0,0.0,0.0,0.0,-0.00037698997431437635,-6.334894461106781e-07,0.0,0.0,0.0,0.0020456868878536002,0.9999979075803893,0.00012532014571520214,0.0,0.0,0.0,0.0,0.0011672380364731766
1750344180.4681065,-0.3133544921875,0.66949462890625,0.058837890625,0.6708984375,-9.17,-3.35,-0.91,0.16,-0.19,-0.27,0.0,0.0,0.0,0.0,0.0,-0.00037698997431437635,-6.334894461106781e-07,0.0,0.0,0.0,0.0020456868878536002,0.9999979075803893,-0.00018829610498413173,0.0,0.0,0.0,0.0,0.000437897918567749
1750344180.615509,-0.3126220703125,0.6669921875,0.06591796875,0.67303466796875,-9.2,-3.26,-0.83,-0.33,-0.26,-0.06,0.0,0.0,0.0,0.0,0.0,-0.00037698997431437635,-6.334894461106781e-07,0.0,0.0,0.0,0.0020456868878536002,0.9999979075803893,-0.00018829610498413173,0.0,0.0,0.0,0.0,0.000437897918567749
1750344180.76336,-0.31378173828125,0.66693115234375,0.0699462890625,0.67218017578125,-9.22,-3.21,-0.85,0.0,0.07,-0.35,0.0,0.0,0.0,0.0,0.0,-0.0005654841285961888,-1.3633793544125953e-06,0.0,0.0,0.0,0.0018265064049833128,0.999998331935785,-0.0003770213771056918,0.0,0.0,0.0,0.0,-9.980631102976339e-07
1750344180.919345,-0.30999755859375,0.67041015625,0.06976318359375,0.6705322265625,-9.24,-3.15,-0.89,-0.09,0.02,-0.19,0.0,0.0,0.0,0.0,0.0,-0.0008168095794004008,-2.3549277456274425e-06,0.0,0.0,0.0,0.00211874701016448,0.9999977554530345,-0.00062849799606833,0.0,0.0,0.0,0.0,0.0005838312833144426
1750344181.0678272,-0.30279541015625,0.6739501953125,0.06219482421875,0.6710205078125,-9.23,-3.16,-0.89,-0.2,-0.02,-0.18,0.0,0.0,0.0,0.0,0.0,-0.0008168095794004008,-2.3549277456274425e-06,0.0,0.0,0.0,0.00211874701016448,0.9999977554530345,-0.00062849799606833,0.0,0.0,0.0,0.0,0.0005838312833144426
1750344181.2145898,-0.29852294921875,0.67388916015625,0.058837890625,0.67327880859375,-9.24,-3.16,-0.83,-0.18,-0.13,-0.15,0.0,0.0,0.0,0.0,0.0,-0.0008168095794004008,-2.3549277456274425e-06,0.0,0.0,0.0,0.00211874701016448,0.9999977554530345,-0.00044020189108419806,0.0,0.0,0.0,0.0,0.00014593336474669379
1750344181.3678172,-0.29962158203125,0.67132568359375,0.060302734375,0.67523193359375,-9.24,-3.17,-0.79,-0.15,-0.15,-0.2,0.0,0.0,0.0,0.0,0.0,-0.0008168095794004008,-2.3549277456274425e-06,0.0,0.0,0.0,0.00211874701016448,0.9999977554530345,-0.00044020189108419806,0.0,0.0,0.0,0.0,0.00014593336474669379
1750344181.5160747,-0.2978515625,0.66876220703125,0.062255859375,0.6783447265625,-9.26,-3.14,-0.7,0.05,-0.06,-0.1,0.0,0.0,0.0,0.0,0.0,-0.0008168095794004008,-2.3549277456274425e-06,0.0,0.0,0.0,0.00211874701016448,0.9999977554530345,-0.00044020189108419806,0.0,0.0,0.0,0.0,0.00014593336474669379
1750344181.6652803,-0.29266357421875,0.666015625,0.05963134765625,0.68353271484375,-9.27,-3.14,-0.57,-0.26,-0.34,-0.13,0.0,0.0,0.0,0.0,0.0,-0.0006283155337828007,-1.597494973609102e-06,0.0,0.0,0.0,0.0018995665588826883,0.9999981958218167,-0.00025160012993147816,0.0,0.0,0.0,0.0,-0.00029267538212009663
1750344181.8144972,-0.2923583984375,0.66900634765625,0.05780029296875,0.680908203125,-9.26,-3.14,-0.65,-0.07,-0.08,-0.13,0.0,0.0,0.0,0.0,0.0,-0.0008168095794004008,-2.3549277456274425e-06,0.0,0.0,0.0,0.00211874701016448,0.9999977554530345,-0.0002513118925449212,0.0,0.0,0.0,0.0,0.000584446261732376
1750344181.9643595,-0.2935791015625,0.6708984375,0.05780029296875,0.67852783203125,-9.26,-3.14,-0.71,-0.18,-0.01,-0.23,0.0,0.0,0.0,0.0,0.0,-0.001445120317636955,-5.476464102861998e-06,0.0,0.0,0.0,0.00284934770284809,0.9999959406005948,-0.0006280720714753583,0.0,0.0,0.0,0.0,0.0014606327243612996
1750344182.1184368,-0.29437255859375,0.67291259765625,0.057373046875,0.67620849609375,-9.25,-3.14,-0.77,-0.17,-0.11,-0.14,0.0,0.0,0.0,0.0,0.0,-0.0012566275800131436,-4.443603620973222e-06,0.0,0.0,0.0,0.00263016763179815,0.9999965411031323,-0.00043933276649319456,0.0,0.0,0.0,0.0,0.0010217041081237094
1750344182.2642658,-0.29400634765625,0.6749267578125,0.05657958984375,0.67437744140625,-9.25,-3.14,-0.82,-0.04,-0.12,-0.18,0.0,0.0,0.0,0.0,0.0,-0.0012566275800131436,-4.443603620973222e-06,0.0,0.0,0.0,0.00263016763179815,0.9999965411031323,-0.00043933276649319456,0.0,0.0,0.0,0.0,0.0010217041081237094
1750344182.4144638,-0.2928466796875,0.67681884765625,0.05645751953125,0.67303466796875,-9.25,-3.11,-0.85,-0.15,-0.11,-0.08,0.0,0.0,0.0,0.0,0.0,-0.0012566275800131436,-4.443603620973222e-06,0.0,0.0,0.0,0.00263016763179815,0.9999965411031323,-0.00043933276649319456,0.0,0.0,0.0,0.0,0.0010217041081237094
1750344182.5713656,-0.291015625,0.67803955078125,0.056884765625,0.672607421875,-9.26,-3.08,-0.87,-0.09,0.05,-0.13,0.0,0.0,0.0,0.0,0.0,-0.001445120317636955,-5.476464102861998e-06,0.0,0.0,0.0,0.00284934770284809,0.9999959406005948,-0.0006277130391622131,0.0,0.0,0.0,0.0,0.00145979776549352
