time,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,joy_axis_0,joy_axis_1,Euler_angle_0,Euler_angle_1,Euler_angle_2,odom_pos_x,odom_pos_y,odom_pos_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z
1750344250.428716,-0.16595458984375,0.69061279296875,0.0191650390625,0.70367431640625,-9.59,-2.03,-0.08,0.03,0.06,-0.12,0.0,0.0,0.0,0.0,0.0,-0.0023876090454948663,1.3128863733080642e-06,0.0,0.0,0.0,-0.0011689644850105142,0.999999316760783,-0.00037714121785839127,0.0,0.0,0.0,0.0,-0.0008770725996706775
1750344250.5745265,-0.16497802734375,0.68743896484375,0.0205078125,0.7069091796875,-9.59,-2.01,0.0,-0.03,0.25,0.19,0.0,0.0,0.0,0.0,0.0,-0.002450440715407383,1.464373181848666e-06,0.0,0.0,0.0,-0.0012420247256115847,0.999999228686993,-0.0004400144831771361,0.0,0.0,0.0,0.0,-0.0010232894957607817
1750344250.735532,-0.1619873046875,0.68389892578125,0.01727294921875,0.71112060546875,-9.59,-2.02,0.11,0.01,0.13,-0.08,0.0,0.0,0.0,0.0,0.0,-0.002450440715407383,1.464373181848666e-06,0.0,0.0,0.0,-0.0012420247256115847,0.999999228686993,-0.0005657479226274788,0.0,0.0,0.0,0.0,-0.0013156928433197181
1750344250.8729134,-0.161865234375,0.683349609375,0.014404296875,0.71173095703125,-9.58,-2.06,0.13,-0.05,0.02,-0.03,0.0,0.0,0.0,0.0,0.0,-0.002450440715407383,1.464373181848666e-06,0.0,0.0,0.0,-0.0012420247256115847,0.999999228686993,-0.0002515268695249709,0.0,0.0,0.0,0.0,-0.0005849462081976068
1750344251.0228477,-0.1656494140625,0.68267822265625,0.01556396484375,0.7115478515625,-9.57,-2.1,0.12,0.14,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,-0.002450440715407383,1.464373181848666e-06,0.0,0.0,0.0,-0.0012420247256115847,0.999999228686993,-0.00012577435163905928,0.0,0.0,0.0,0.0,-0.00029249849218385875
1750344251.1750565,-0.167724609375,0.6822509765625,0.017578125,0.71142578125,-9.57,-2.1,0.12,-0.02,-0.07,-0.05,0.0,0.0,0.0,0.0,0.0,-0.002324777354117775,1.1705805668404954e-06,0.0,0.0,0.0,-0.0010959042381697378,0.9999993994967701,-6.298981512504535e-05,0.0,0.0,0.0,0.0,-0.00014648794215126824
1750344251.3233712,-0.16925048828125,0.68341064453125,0.01885986328125,0.70989990234375,-9.57,-2.1,0.08,0.0,0.05,-0.03,0.0,0.0,0.0,0.0,0.0,-0.0025761039854725596,1.7948897921638005e-06,0.0,0.0,0.0,-0.001388145186534681,0.9999990365260064,-0.00018804742263706654,0.0,0.0,0.0,0.0,-0.0004373195875280616
1750344251.4785933,-0.16973876953125,0.68585205078125,0.0189208984375,0.7073974609375,-9.57,-2.1,0.01,-0.02,0.17,-0.03,0.0,0.0,0.0,0.0,0.0,-0.0025761039854725596,1.7948897921638005e-06,0.0,0.0,0.0,-0.001388145186534681,0.9999990365260064,-0.00018804742263706654,0.0,0.0,0.0,0.0,-0.0004373195875280616
1750344251.622468,-0.16925048828125,0.68804931640625,0.0186767578125,0.70538330078125,-9.58,-2.08,-0.04,-0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025132723625137915,1.625040989311488e-06,0.0,0.0,0.0,-0.0013150849595829673,0.9999991352754006,-6.23634713063235e-05,0.0,0.0,0.0,0.0,-0.00014503132861935688
1750344251.7742043,-0.16839599609375,0.6895751953125,0.01837158203125,0.70416259765625,-9.58,-2.07,-0.07,-0.05,0.05,-0.06,0.0,0.0,0.0,0.0,0.0,-0.0025132723625137915,1.625040989311488e-06,0.0,0.0,0.0,-0.0013150849595829673,0.9999991352754006,-6.23634713063235e-05,0.0,0.0,0.0,0.0,-0.00014503132861935688
1750344251.9234393,-0.16668701171875,0.68994140625,0.018798828125,0.70416259765625,-9.59,-2.04,-0.07,0.05,-0.02,-0.07,0.0,0.0,0.0,0.0,0.0,-0.0028274302201763968,2.566094920040118e-06,0.0,0.0,0.0,-0.0016803860293403982,0.9999985881503995,-0.00037402218639735903,0.0,0.0,0.0,0.0,-0.0008698190381333931
1750344252.0742977,-0.1661376953125,0.68829345703125,0.0203857421875,0.70587158203125,-9.59,-2.02,-0.02,-0.07,0.07,-0.04,0.0,0.0,0.0,0.0,0.0,-0.0028274302201763968,2.566094920040118e-06,0.0,0.0,0.0,-0.0016803860293403982,0.9999985881503995,-0.00037402218639735903,0.0,0.0,0.0,0.0,-0.0008698190381333931
1750344252.2316785,-0.16668701171875,0.688232421875,0.0208740234375,0.705810546875,-9.59,-2.02,-0.02,0.05,0.06,-0.08,0.0,0.0,0.0,0.0,0.0,-0.0028274302201763968,2.566094920040118e-06,0.0,0.0,0.0,-0.0016803860293403982,0.9999985881503995,-0.0002488480290790374,0.0,0.0,0.0,0.0,-0.000578716346695436
1750344252.3736813,-0.16796875,0.68768310546875,0.02191162109375,0.70599365234375,-9.59,-2.03,-0.02,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,-0.0029530931521747467,3.0067833374913805e-06,0.0,0.0,0.0,-0.001826506391988136,0.9999983319358088,-0.0003744439677045473,0.0,0.0,0.0,0.0,-0.0008707999248942964
1750344252.5230906,-0.16876220703125,0.68743896484375,0.022705078125,0.70599365234375,-9.59,-2.03,-0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030787559500196826,3.484195618440599e-06,0.0,0.0,0.0,-0.001972626715637723,0.9999980543700276,-0.0005000226473180961,0.0,0.0,0.0,0.0,-0.0011628433658560377
1750344252.6733549,-0.16851806640625,0.68731689453125,0.02252197265625,0.7061767578125,-9.59,-2.03,-0.01,0.01,0.05,-0.05,0.0,0.0,0.0,0.0,0.0,-0.0030787559500196826,3.484195618440599e-06,0.0,0.0,0.0,-0.001972626715637723,0.9999980543700276,-0.0005628333333300942,0.0,0.0,0.0,0.0,-0.0013089147286746382
1750344252.8225727,-0.16790771484375,0.68719482421875,0.02197265625,0.70648193359375,-9.59,-2.03,0.0,0.03,-0.01,-0.07,0.0,0.0,0.0,0.0,0.0,-0.0030787559500196826,3.484195618440599e-06,0.0,0.0,0.0,-0.001972626715637723,0.9999980543700276,-0.00038256860847245755,0.0,0.0,0.0,0.0,-0.0008896944383080412
1750344252.9738922,-0.16778564453125,0.68682861328125,0.02191162109375,0.70684814453125,-9.59,-2.03,0.0,0.05,0.08,-0.05,0.0,0.0,0.0,0.0,0.0,-0.0030787559500196826,3.484195618440599e-06,0.0,0.0,0.0,-0.001972626715637723,0.9999980543700276,-0.00025117461823905864,0.0,0.0,0.0,0.0,-0.000584127019160602
1750344253.1237326,-0.16766357421875,0.686279296875,0.0218505859375,0.7073974609375,-9.59,-2.03,0.01,0.07,-0.01,-0.1,0.0,0.0,0.0,0.0,0.0,-0.0030787559500196826,3.484195618440599e-06,0.0,0.0,0.0,-0.001972626715637723,0.9999980543700276,-0.00025117461823905864,0.0,0.0,0.0,0.0,-0.000584127019160602
1750344253.2736886,-0.1685791015625,0.687255859375,0.02227783203125,0.70623779296875,-9.59,-2.03,-0.01,0.0,-0.01,-0.05,0.0,0.0,0.0,0.0,0.0,-0.002953093152174747,3.0067833374913805e-06,0.0,0.0,0.0,-0.0018265063919881363,0.9999983319358088,-0.00012579534973123345,0.0,0.0,0.0,0.0,-0.00029254732495635733
1750344253.4241502,-0.16949462890625,0.68902587890625,0.02264404296875,0.70428466796875,-9.59,-2.03,-0.07,0.05,-0.02,-0.06,0.0,0.0,0.0,0.0,0.0,-0.0033300811114962033,4.549191655398576e-06,0.0,0.0,0.0,-0.0022648672464582187,0.9999974351848888,-0.00025168176023992615,0.0,0.0,0.0,0.0,-0.0005853064191626195
