time,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,joy_axis_0,joy_axis_1,Euler_angle_0,Euler_angle_1,Euler_angle_2,odom_pos_x,odom_pos_y,odom_pos_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z
1750344392.4156854,-0.09820556640625,0.70709228515625,0.0047607421875,0.7001953125,-9.72,-1.28,-0.2,-0.07,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,6.283185459738321e-05,5.049565032855323e-08,0.0,0.0,0.0,7.306029363858127e-05,0.9999999973310968,0.0,0.0,0.0,0.0,0.0,-1.0842021724855044e-19
1750344392.416653,-0.09942626953125,0.7110595703125,0.00537109375,0.696044921875,-9.71,-1.28,-0.3,-0.11,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,6.283185459738321e-05,5.049565032855323e-08,0.0,0.0,0.0,7.306029363858127e-05,0.9999999973310968,0.0,0.0,0.0,0.0,0.0,-1.0842021724855044e-19
1750344392.4178784,-0.0997314453125,0.71484375,0.00506591796875,0.69207763671875,-9.71,-1.28,-0.41,-0.14,0.02,-0.11,0.0,0.0,0.0,0.0,0.0,6.283185459738321e-05,5.049565032855323e-08,0.0,0.0,0.0,7.306029363858127e-05,0.9999999973310968,0.0,0.0,0.0,0.0,0.0,-1.0842021724855044e-19
1750344392.4190338,-0.1004638671875,0.71826171875,0.004638671875,0.6884765625,-9.7,-1.29,-0.5,-0.07,-0.05,-0.12,0.0,0.0,0.0,0.0,0.0,6.283185459738321e-05,5.049565032855323e-08,0.0,0.0,0.0,7.306029363858127e-05,0.9999999973310968,0.0,0.0,0.0,0.0,0.0,-1.0842021724855044e-19
1750344392.420432,-0.102294921875,0.71905517578125,0.00518798828125,0.68731689453125,-9.7,-1.3,-0.54,-0.09,-0.01,-0.08,0.0,0.0,0.0,0.0,0.0,6.283185459738321e-05,5.049565032855323e-08,0.0,0.0,0.0,7.306029363858127e-05,0.9999999973310968,0.0,0.0,0.0,0.0,0.0,-1.0842021724855044e-19
1750344392.5650206,-0.10272216796875,0.718994140625,0.00506591796875,0.6873779296875,-9.7,-1.31,-0.53,-0.03,-0.03,-0.12,0.0,0.0,0.0,0.0,0.0,6.283185459738321e-05,5.049565032855323e-08,0.0,0.0,0.0,7.306029363858127e-05,0.9999999973310968,0.0,0.0,0.0,0.0,0.0,-1.0842021724855044e-19
1750344392.7151277,-0.10308837890625,0.71893310546875,0.0054931640625,0.6873779296875,-9.7,-1.31,-0.53,-0.09,-0.04,-0.03,0.0,0.0,0.0,0.0,0.0,6.283185459738321e-05,5.049565032855323e-08,0.0,0.0,0.0,7.306029363858127e-05,0.9999999973310968,0.0,0.0,0.0,0.0,0.0,-1.0842021724855044e-19
1750344392.8660831,-0.10296630859375,0.71917724609375,0.0047607421875,0.6871337890625,-9.7,-1.32,-0.54,-0.03,-0.03,-0.12,0.0,0.0,0.0,0.0,0.0,6.283185459738321e-05,5.049565032855323e-08,0.0,0.0,0.0,7.306029363858127e-05,0.9999999973310968,0.0,0.0,0.0,0.0,0.0,-1.0842021724855044e-19
1750344393.01541,-0.101806640625,0.71905517578125,0.00384521484375,0.68743896484375,-9.7,-1.31,-0.53,-0.09,-0.07,-0.11,0.0,0.0,0.0,0.0,0.0,6.283185459738321e-05,5.049565032855323e-08,0.0,0.0,0.0,7.306029363858127e-05,0.9999999973310968,0.0,0.0,0.0,0.0,0.0,-1.0842021724855044e-19
1750344393.1647906,-0.10162353515625,0.7191162109375,0.00360107421875,0.68743896484375,-9.7,-1.31,-0.53,-0.1,-0.01,-0.12,0.0,0.0,0.0,0.0,0.0,6.283185459738321e-05,5.049565032855323e-08,0.0,0.0,0.0,7.306029363858127e-05,0.9999999973310968,0.0,0.0,0.0,0.0,0.0,-1.0842021724855044e-19
