time,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,joy_axis_0,joy_axis_1,Euler_angle_0,Euler_angle_1,Euler_angle_2,odom_pos_x,odom_pos_y,odom_pos_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z
1750344501.20578,0.01239013671875,0.843505859375,0.0089111328125,0.53692626953125,-8.88,0.27,-4.15,0.02,0.04,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344501.354775,0.01251220703125,0.843505859375,0.00872802734375,0.53692626953125,-8.88,0.27,-4.15,-0.02,0.13,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344501.5036967,0.0128173828125,0.843505859375,0.00830078125,0.536865234375,-8.88,0.27,-4.15,-0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344501.656892,0.01275634765625,0.843505859375,0.00823974609375,0.536865234375,-8.88,0.27,-4.15,0.03,0.04,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344501.8019865,0.0126953125,0.843505859375,0.00823974609375,0.536865234375,-8.88,0.27,-4.15,0.06,0.05,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344501.958156,0.0126953125,0.843505859375,0.00823974609375,0.536865234375,-8.88,0.27,-4.15,0.08,0.04,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344502.1135507,0.0128173828125,0.8436279296875,0.008056640625,0.5367431640625,-8.87,0.26,-4.15,0.03,0.04,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344502.2506406,0.0128173828125,0.8436279296875,0.008056640625,0.5367431640625,-8.87,0.26,-4.15,0.03,0.1,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344502.4040418,0.0128173828125,0.8436279296875,0.008056640625,0.5367431640625,-8.87,0.26,-4.15,0.01,0.04,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344502.55207,0.0128173828125,0.8436279296875,0.008056640625,0.53668212890625,-8.87,0.26,-4.15,0.03,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
