time,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,joy_axis_0,joy_axis_1,Euler_angle_0,Euler_angle_1,Euler_angle_2,odom_pos_x,odom_pos_y,odom_pos_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z
1750344688.163989,0.02276611328125,0.83746337890625,-0.0025634765625,0.54595947265625,-8.96,0.2,-3.96,0.11,-0.12,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344688.3039117,0.0224609375,0.83740234375,-0.0020751953125,0.546142578125,-8.97,0.2,-3.95,-0.04,-0.07,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344688.449705,0.022216796875,0.83740234375,-0.001708984375,0.546142578125,-8.97,0.2,-3.95,0.03,-0.32,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344688.5996404,0.0211181640625,0.83770751953125,-0.00128173828125,0.54571533203125,-8.96,0.2,-3.96,0.06,-0.2,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344688.7495708,0.02001953125,0.83807373046875,-0.0008544921875,0.54522705078125,-8.96,0.2,-3.97,0.0,-0.16,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344688.9077182,0.01953125,0.83837890625,-0.0010986328125,0.54473876953125,-8.95,0.19,-3.98,0.06,-0.07,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344689.0545926,0.01922607421875,0.838623046875,-0.00146484375,0.54437255859375,-8.95,0.18,-3.99,0.07,-0.11,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344689.2037444,0.01885986328125,0.8388671875,-0.001708984375,0.54400634765625,-8.95,0.17,-4.0,-0.03,-0.16,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344689.3495328,0.01861572265625,0.83905029296875,-0.0020751953125,0.543701171875,-8.94,0.16,-4.0,0.07,-0.11,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750344689.5012286,0.0184326171875,0.8392333984375,-0.00238037109375,0.54339599609375,-8.94,0.15,-4.01,0.06,-0.11,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
