time,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,joy_axis_0,joy_axis_1,Euler_angle_0,Euler_angle_1,Euler_angle_2,odom_pos_x,odom_pos_y,odom_pos_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z
1750344548.0746734,0.0750732421875,0.7540283203125,-0.00445556640625,0.65252685546875,-9.65,0.89,-1.45,0.02,0.02,-0.01,0.0,0.0,0.0,0.0,0.0,-0.0005654865214448147,3.7183156302522667e-07,0.0,0.0,0.0,-0.0006575426089446231,0.9999997838188354,-0.0003772627732238446,0.0,0.0,0.0,0.0,-0.0008773552865670805
1750344548.2213151,0.074951171875,0.7540283203125,-0.0045166015625,0.65252685546875,-9.65,0.89,-1.45,0.03,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,-0.0006283183134371408,4.590512950408687e-07,0.0,0.0,0.0,-0.0007306028850340274,0.9999997331096766,-0.000125746949411553,0.0,0.0,0.0,0.0,-0.00029243476607337905
1750344548.38555,0.074951171875,0.75408935546875,-0.0045166015625,0.6524658203125,-9.65,0.89,-1.45,0.06,-0.03,-0.09,0.0,0.0,0.0,0.0,0.0,-0.0006283183134371408,4.590512950408687e-07,0.0,0.0,0.0,-0.0007306028850340274,0.9999997331096766,0.00012581333027966626,0.0,0.0,0.0,0.0,0.0002925891401852704
1750344548.5110595,0.074951171875,0.75408935546875,-0.00445556640625,0.65240478515625,-9.65,0.89,-1.45,0.06,0.05,-0.09,0.0,0.0,0.0,0.0,0.0,-0.0006283183134371408,4.590512950408687e-07,0.0,0.0,0.0,-0.0007306028850340274,0.9999997331096766,0.00012581333027966626,0.0,0.0,0.0,0.0,0.0002925891401852704
1750344548.6680853,0.074951171875,0.75408935546875,-0.00445556640625,0.65240478515625,-9.65,0.89,-1.45,0.06,0.06,-0.04,0.0,0.0,0.0,0.0,0.0,-0.0006283183134371408,4.590512950408687e-07,0.0,0.0,0.0,-0.0007306028850340274,0.9999997331096766,-6.280357401980329e-05,0.0,0.0,0.0,0.0,-0.00014605482330186815
1750344548.8279316,0.07476806640625,0.75439453125,-0.00439453125,0.65216064453125,-9.65,0.89,-1.46,0.0,0.08,-0.11,0.0,0.0,0.0,0.0,0.0,-0.0006283183134371408,4.590512950408687e-07,0.0,0.0,0.0,-0.0007306028850340274,0.9999997331096766,-6.280357401980329e-05,0.0,0.0,0.0,0.0,-0.00014605482330186815
1750344548.9767156,0.07464599609375,0.75439453125,-0.00433349609375,0.652099609375,-9.65,0.89,-1.46,0.08,-0.03,-0.13,0.0,0.0,0.0,0.0,0.0,-0.0006283183134371408,4.590512950408687e-07,0.0,0.0,0.0,-0.0007306028850340274,0.9999997331096766,-6.280357401980329e-05,0.0,0.0,0.0,0.0,-0.00014605482330186815
1750344549.1484191,0.07464599609375,0.75433349609375,-0.00433349609375,0.6522216796875,-9.65,0.89,-1.46,0.03,-0.02,-0.14,0.0,0.0,0.0,0.0,0.0,-0.000753981855834159,6.610338091639356e-07,0.0,0.0,0.0,-0.000876723425123404,0.999999615677944,-0.0001254442104174188,0.0,0.0,0.0,0.0,-0.000291730721900974
1750344549.2727256,0.07464599609375,0.75433349609375,-0.00433349609375,0.6522216796875,-9.65,0.89,-1.46,0.04,-0.06,-0.16,0.0,0.0,0.0,0.0,0.0,-0.0008168136035557801,7.757965869747974e-07,0.0,0.0,0.0,-0.0009497836883434129,0.9999995489553709,-0.00018830939034898496,0.0,0.0,0.0,0.0,-0.00043792881476508133
1750344549.438161,0.07464599609375,0.75433349609375,-0.00439453125,0.6522216796875,-9.65,0.89,-1.46,0.05,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.0009424770565134163,1.0328651963642522e-06,0.0,0.0,0.0,-0.0010959042121793557,0.9999993994967986,-0.00031364456038849436,0.0,0.0,0.0,0.0,-0.0007294059543918475
