time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749724237.0472207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,78,83
1749724237.181639,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,77,83
1749724237.3133771,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,78,83
1749724237.4409938,0.06,10.88,-85.50,-0.30,-0.57,-0.17,1.55,9.02,0.56,0.01,0.03,-0.00,-22.25,-37.19,-21.25,0.7335,0.6673,-0.1292,-0.0005,31,77,83
1749724237.5853062,0.12,10.81,-85.50,-0.18,-0.68,-0.17,1.74,8.89,0.58,-0.02,-0.03,0.00,-21.87,-37.56,-20.50,0.7336,0.6672,-0.1293,-0.0010,31,78,83
1749724237.7144067,0.12,10.81,-85.56,-0.11,-0.68,-0.11,1.72,8.92,0.62,0.02,-0.02,0.01,-22.56,-37.56,-20.87,0.7333,0.6675,-0.1291,-0.0012,31,77,83
1749724237.84305,0.06,10.81,-85.69,-0.16,-0.66,-0.17,1.68,8.93,0.53,-0.01,-0.02,0.02,-13.50,-22.37,-11.50,0.7324,0.6685,-0.1291,-0.0006,31,78,83
1749724237.9823365,0.00,10.88,-85.75,-0.24,-0.61,-0.10,1.60,8.99,0.60,-0.00,0.02,0.00,-13.50,-22.37,-11.06,0.7323,0.6686,-0.1292,-0.0002,31,77,83
1749724238.1151335,0.00,10.88,-85.69,-0.25,-0.64,-0.10,1.59,8.95,0.61,0.02,0.00,0.01,-13.06,-23.00,-12.00,0.7325,0.6683,-0.1292,-0.0003,31,77,83
1749724238.2490122,0.00,10.88,-85.69,-0.18,-0.63,-0.06,1.66,8.96,0.65,-0.01,0.01,0.00,-13.75,-22.69,-11.56,0.7327,0.6682,-0.1292,-0.0002,31,77,83
1749724238.373073,0.00,10.94,-85.69,-0.09,-0.65,0.00,1.76,8.94,0.71,0.01,-0.01,0.02,-14.19,-22.69,-11.56,0.7326,0.6682,-0.1297,-0.0001,31,77,83
1749724238.5064988,0.00,10.94,-85.81,-0.10,-0.03,-0.03,1.76,9.56,0.66,0.00,0.02,-0.01,-13.50,-21.87,-11.19,0.7319,0.6689,-0.1298,-0.0001,31,77,84
1749724238.6378305,0.00,10.94,-85.81,-0.10,0.04,-0.01,1.75,9.64,0.68,-0.00,-0.01,0.01,-13.06,-22.69,-12.06,0.7318,0.6690,-0.1299,-0.0002,31,77,83
1749724238.77931,0.00,10.94,-85.94,-0.09,0.00,-0.22,1.76,9.60,0.45,0.01,0.02,0.00,-13.50,-22.69,-11.69,0.7309,0.6699,-0.1304,-0.0004,31,77,83
1749724238.9091778,0.00,10.94,-86.00,-0.11,0.01,-0.03,1.75,9.59,0.61,0.04,0.03,0.00,-12.69,-22.69,-11.69,0.7308,0.6700,-0.1306,-0.0001,31,77,83
1749724239.0380218,359.94,10.94,-86.06,0.00,-0.01,-0.08,1.87,9.59,0.57,0.08,0.02,0.02,-13.06,-21.87,-12.06,0.7302,0.6707,-0.1303,0.0004,31,77,83
1749724239.178391,359.81,11.00,-86.25,-0.03,-0.09,-0.07,1.85,9.50,0.54,0.03,-0.01,0.01,-13.19,-21.87,-12.50,0.7292,0.6718,-0.1307,0.0009,31,77,83
1749724239.3139908,359.88,11.06,-86.31,-0.02,-0.09,-0.03,1.86,9.51,0.57,0.00,-0.02,0.00,-13.88,-23.37,-10.75,0.7289,0.6720,-0.1310,0.0007,31,77,83
1749724239.437064,359.88,11.06,-86.31,0.04,0.00,-0.03,1.85,9.58,0.50,0.03,0.02,-0.00,-13.88,-22.69,-11.19,0.7288,0.6721,-0.1312,0.0005,31,77,83
1749724239.5768,359.81,11.00,-86.37,-0.06,0.00,-0.08,1.81,9.60,0.51,0.00,0.01,0.00,-13.75,-22.87,-11.69,0.7284,0.6727,-0.1305,0.0009,31,77,83
1749724239.7080266,359.88,10.94,-86.37,0.01,-0.09,0.05,1.88,9.51,0.66,0.01,-0.01,0.00,-13.06,-22.56,-13.25,0.7287,0.6723,-0.1303,0.0005,31,77,83
1749724239.84508,359.81,10.94,-86.37,-0.01,-0.04,0.01,1.85,9.56,0.62,-0.04,0.01,0.01,-13.75,-22.19,-11.69,0.7286,0.6724,-0.1300,0.0008,31,76,83
1749724239.9781704,359.75,10.94,-86.25,-0.04,0.06,-0.19,1.82,9.66,0.42,0.00,0.02,0.01,-13.06,-22.87,-10.06,0.7291,0.6720,-0.1296,0.0013,31,76,83
1749724240.1066225,359.69,11.00,-86.12,-0.02,-0.06,-0.11,1.84,9.54,0.52,0.00,0.01,0.00,-12.69,-22.25,-12.50,0.7299,0.6713,-0.1292,0.0017,31,77,83
1749724240.2404027,359.69,11.00,-86.06,0.02,-0.06,-0.04,1.89,9.52,0.45,0.02,-0.01,0.01,-13.50,-22.25,-12.06,0.7302,0.6710,-0.1293,0.0016,31,76,83
1749724240.3781307,359.69,11.00,-86.12,0.00,-0.01,-0.10,1.87,9.59,0.53,-0.00,0.00,0.01,-12.69,-22.25,-11.69,0.7299,0.6713,-0.1293,0.0019,31,76,83
1749724240.5060096,359.63,11.00,-86.25,-0.10,0.07,-0.18,1.77,9.67,0.43,0.06,0.03,-0.00,-13.50,-22.25,-10.88,0.7290,0.6722,-0.1293,0.0021,31,76,82
1749724240.6423805,359.88,11.00,-86.31,0.01,-0.09,-0.18,1.89,9.50,0.41,0.07,0.02,-0.01,-12.69,-23.00,-11.69,0.7286,0.6723,-0.1307,0.0007,31,76,83
1749724240.7755651,359.88,11.00,-86.37,0.02,0.01,0.09,1.89,9.62,0.69,0.01,0.03,-0.01,-13.50,-21.87,-12.06,0.7285,0.6726,-0.1303,0.0008,31,76,82
