time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749725087.920596,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,86,92
1749725088.0497026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,86,92
1749725088.182074,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,32,86,92
1749725088.3245523,359.88,-3.38,-89.69,-0.07,-0.65,0.01,-0.65,9.13,0.05,-0.00,0.01,0.01,-16.69,-35.38,-20.56,0.7087,0.7042,0.0425,0.0006,32,86,92
1749725088.4492273,359.81,-3.31,-89.69,0.03,-0.71,-0.07,-0.54,9.07,-0.02,-0.00,0.00,0.02,-16.69,-36.50,-19.37,0.7088,0.7042,0.0425,0.0012,32,86,92
1749725088.580901,359.75,-3.31,-89.62,0.00,-0.72,0.05,-0.56,9.06,0.11,-0.02,-0.00,0.00,-17.75,-35.75,-19.75,0.7092,0.7037,0.0424,0.0013,32,85,92
1749725088.7237875,359.69,-3.31,-89.56,-0.04,-0.70,0.00,-0.62,9.08,0.06,-0.03,-0.00,0.01,-9.75,-21.00,-10.50,0.7095,0.7034,0.0427,0.0016,32,85,92
1749725088.8529103,359.75,-3.31,-89.44,-0.02,-0.62,-0.02,-0.59,9.16,0.06,-0.01,0.01,0.00,-9.69,-22.37,-12.06,0.7103,0.7026,0.0427,0.0015,32,85,92
1749725088.9868176,359.75,-3.38,-89.44,0.00,-0.65,0.00,-0.57,9.13,0.09,0.00,0.01,-0.01,-10.06,-20.87,-11.25,0.7104,0.7025,0.0432,0.0013,32,85,92
1749725089.1236374,359.88,-3.50,-89.44,-0.05,-0.62,-0.09,-0.65,9.16,0.00,0.01,0.00,-0.01,-10.50,-20.87,-11.69,0.7104,0.7025,0.0438,0.0007,32,85,92
1749725089.2631128,359.88,-3.50,-89.44,-0.07,-0.66,-0.05,-0.64,9.11,0.03,-0.01,-0.01,0.00,-10.50,-21.25,-12.06,0.7104,0.7024,0.0441,0.0004,32,85,92
1749725089.398391,359.88,-3.50,-89.37,0.02,-0.68,0.04,-0.57,9.09,0.14,-0.02,-0.00,0.01,-10.50,-21.69,-11.25,0.7109,0.7020,0.0438,0.0005,32,84,92
1749725089.529334,359.88,-3.50,-89.31,-0.05,-0.67,-0.08,-0.66,9.10,0.08,-0.03,-0.01,0.02,-10.06,-21.25,-11.25,0.7111,0.7017,0.0435,0.0005,32,85,92
1749725089.6677356,359.88,-3.44,-89.31,-0.06,-0.67,0.00,-0.65,9.11,0.11,-0.00,0.00,0.00,-10.50,-21.25,-11.69,0.7111,0.7017,0.0433,0.0007,32,84,91
1749725089.8026927,359.88,-3.44,-89.31,0.03,-0.76,0.06,-0.54,9.01,0.14,-0.01,-0.01,0.01,-9.69,-21.69,-12.50,0.7110,0.7019,0.0431,0.0005,32,84,91
1749725089.9338152,359.88,-3.44,-89.37,-0.07,-0.61,-0.03,-0.67,9.17,0.06,-0.01,0.00,0.01,-9.69,-21.69,-12.50,0.7108,0.7021,0.0431,0.0004,32,84,92
1749725090.0697126,359.88,-3.44,-89.37,-0.01,-0.68,0.00,-0.61,9.10,0.09,-0.00,0.01,-0.00,-10.50,-21.69,-12.50,0.7108,0.7021,0.0431,0.0005,32,84,91
1749725090.1949272,359.88,-3.44,-89.37,0.00,-0.67,-0.01,-0.56,9.12,0.09,0.00,-0.00,0.01,-9.69,-22.37,-12.06,0.7108,0.7021,0.0431,0.0004,32,84,91
1749725090.3327909,359.81,-3.38,-89.37,0.01,-0.68,-0.04,-0.56,9.10,0.05,-0.02,-0.02,0.02,-11.56,-22.00,-12.06,0.7108,0.7021,0.0427,0.0010,32,84,91
1749725090.4707913,359.56,-3.19,-89.25,-0.15,-0.68,-0.07,-0.71,9.08,0.00,-0.06,-0.01,0.03,-9.19,-21.56,-11.19,0.7116,0.7013,0.0416,0.0024,32,84,91
1749725090.607475,359.44,-2.63,-88.37,-0.38,-0.37,-0.14,-0.84,9.41,0.12,-0.16,-0.21,0.22,-10.00,-20.75,-12.38,0.7169,0.6962,0.0355,0.0033,32,83,92
1749725090.7333064,358.81,0.12,-86.75,-0.23,-0.77,-0.61,-0.21,9.01,-0.06,-0.16,-0.21,0.85,-10.50,-21.06,-12.00,0.7266,0.6871,0.0050,0.0075,32,83,93
1749725090.873541,350.69,8.81,-86.44,-1.10,-2.26,1.67,0.83,7.65,2.44,0.07,-0.26,1.52,-11.69,-22.00,-11.88,0.7252,0.6833,-0.0562,0.0634,32,71,105
1749725091.0277646,345.19,18.87,-84.94,3.85,2.37,-0.35,7.03,11.61,0.45,-0.38,-0.31,0.70,-13.06,-22.87,-11.69,0.7299,0.6631,-0.1361,0.0947,32,48,0
1749725091.178623,339.44,22.25,-84.81,2.31,-1.58,-0.44,6.57,7.29,0.58,-0.29,-0.25,0.02,-11.06,-22.75,-10.56,0.7250,0.6611,-0.1432,0.1301,32,34,0
