time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749725779.1698887,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,73,81
1749725779.2997203,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,73,80
1749725779.4404387,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,32,74,80
1749725779.5628738,359.94,4.00,-79.69,-0.04,-0.71,-0.15,0.64,8.90,1.58,-0.01,-0.01,0.01,-19.69,-37.25,-23.06,0.7676,0.6393,-0.0456,0.0001,32,73,80
1749725779.704382,359.94,4.13,-79.62,-0.06,-0.75,-0.09,0.70,8.86,1.66,-0.02,-0.02,0.01,-19.69,-36.50,-21.87,0.7678,0.6390,-0.0472,0.0002,32,73,80
1749725779.8295949,0.00,4.19,-79.56,-0.08,-0.75,-0.12,0.64,8.86,1.63,-0.02,-0.01,0.01,-19.25,-35.75,-23.37,0.7682,0.6384,-0.0480,-0.0001,32,73,80
1749725779.9709644,0.00,4.25,-79.50,-0.01,-0.69,-0.10,0.71,8.91,1.67,-0.01,-0.00,0.00,-11.88,-21.75,-13.50,0.7686,0.6378,-0.0489,-0.0002,32,73,81
1749725780.1034482,0.00,4.31,-79.44,0.01,-0.79,-0.02,0.75,8.81,1.76,0.01,-0.00,0.00,-11.06,-22.56,-12.00,0.7689,0.6375,-0.0493,-0.0003,32,73,81
1749725780.229107,0.00,4.31,-79.37,-0.02,-0.71,-0.10,0.71,8.89,1.69,0.00,-0.01,-0.00,-11.88,-21.50,-14.00,0.7690,0.6373,-0.0494,-0.0003,32,73,81
1749725780.367053,0.06,4.31,-79.44,-0.07,-0.71,-0.11,0.66,8.90,1.67,-0.01,-0.01,-0.01,-11.06,-21.75,-12.75,0.7690,0.6373,-0.0498,-0.0006,32,73,80
1749725780.494742,0.12,4.31,-79.44,-0.05,-0.77,-0.08,0.69,8.83,1.70,0.01,-0.02,-0.00,-11.50,-22.56,-13.56,0.7690,0.6373,-0.0504,-0.0010,32,73,80
1749725780.634071,0.19,4.38,-79.44,0.04,0.00,0.03,0.78,9.61,1.85,-0.01,-0.00,-0.01,-11.88,-22.56,-14.00,0.7690,0.6373,-0.0507,-0.0013,32,72,80
1749725780.7630227,0.19,4.31,-79.44,0.01,0.00,-0.01,0.76,9.60,1.77,-0.00,-0.00,-0.00,-11.50,-22.19,-13.56,0.7689,0.6374,-0.0507,-0.0014,32,72,79
1749725780.8946586,0.25,4.31,-79.44,0.06,-0.08,0.05,0.80,9.52,1.84,0.02,-0.02,-0.01,-11.88,-21.50,-14.38,0.7689,0.6374,-0.0507,-0.0018,32,72,79
1749725781.036101,0.25,4.31,-79.44,0.04,0.00,0.05,0.79,9.60,1.84,-0.00,-0.01,-0.01,-13.00,-22.19,-13.56,0.7687,0.6375,-0.0509,-0.0019,32,73,79
1749725781.1621115,0.25,4.31,-79.44,-0.02,-0.06,0.00,0.71,9.54,1.78,-0.01,-0.00,-0.02,-11.06,-21.75,-14.38,0.7687,0.6375,-0.0508,-0.0021,32,73,79
1749725781.299231,0.31,4.25,-79.44,-0.03,0.00,0.04,0.70,9.61,1.83,0.01,0.01,0.00,-11.06,-21.06,-13.19,0.7689,0.6373,-0.0507,-0.0023,32,72,79
1749725781.426056,0.31,4.25,-79.44,-0.02,-0.02,0.07,0.71,9.58,1.86,-0.01,0.01,-0.00,-11.50,-21.06,-13.56,0.7690,0.6372,-0.0506,-0.0021,32,73,79
1749725781.5629559,0.25,4.25,-79.37,0.00,-0.05,0.02,0.74,9.55,1.81,0.01,-0.01,0.01,-11.88,-21.50,-13.56,0.7690,0.6371,-0.0505,-0.0020,32,72,79
1749725781.70235,0.25,4.38,-79.37,-0.01,0.00,0.01,0.73,9.61,1.80,-0.00,-0.02,0.01,-12.25,-21.75,-14.38,0.7690,0.6371,-0.0512,-0.0018,32,72,79
1749725781.8252692,0.25,4.38,-79.37,0.01,-0.06,0.09,0.77,9.54,1.89,-0.02,-0.02,0.00,-11.88,-22.19,-13.19,0.7692,0.6369,-0.0516,-0.0020,32,72,79
1749725781.962002,0.25,4.44,-79.31,0.07,0.00,0.04,0.83,9.59,1.85,-0.01,-0.01,0.01,-11.50,-21.06,-14.00,0.7696,0.6364,-0.0522,-0.0020,32,72,79
1749725782.1019595,0.25,4.44,-79.25,0.01,-0.03,0.15,0.78,9.57,1.97,-0.01,-0.01,0.00,-11.50,-21.50,-13.19,0.7700,0.6359,-0.0521,-0.0020,32,72,79
1749725782.2289197,0.31,4.44,-79.19,0.03,-0.11,-0.01,0.80,9.48,1.80,-0.00,0.00,0.01,-12.25,-21.06,-13.19,0.7701,0.6357,-0.0524,-0.0021,32,72,79
1749725782.3628128,0.31,4.44,-79.12,-0.03,-0.02,0.07,0.72,9.57,1.90,-0.02,-0.00,-0.00,-11.50,-21.50,-14.00,0.7705,0.6353,-0.0523,-0.0021,32,71,79
1749725782.496746,0.37,4.38,-79.00,0.01,0.00,-0.01,0.76,9.59,1.84,-0.02,-0.01,-0.01,-13.00,-22.19,-13.56,0.7712,0.6345,-0.0521,-0.0026,32,71,78
1749725782.6310003,0.44,4.31,-78.81,-0.11,-0.05,0.04,0.62,9.53,1.93,-0.01,0.03,-0.01,-12.56,-21.69,-13.50,0.7723,0.6332,-0.0515,-0.0029,32,71,78
1749725782.769137,0.50,4.06,-77.75,-0.09,-0.09,-1.65,0.59,9.45,0.47,-0.65,0.12,-0.14,-12.56,-21.25,-13.50,0.7800,0.6238,-0.0482,-0.0041,32,71,77
1749725782.8918767,2.44,0.94,-68.12,1.24,6.90,-4.01,1.40,16.01,-0.36,-1.58,0.16,-0.61,-11.00,-19.19,-17.00,0.8280,0.5601,-0.0219,-0.0176,32,76,76
1749725783.0341375,5.31,-1.25,-52.81,-0.80,-7.90,0.18,-1.02,-0.08,6.10,-2.38,0.03,-0.66,-10.56,-15.50,-20.75,0.8946,0.4449,-0.0080,-0.0416,32,86,80
1749725783.1601877,9.13,-3.75,-39.75,0.76,-5.01,4.46,-0.64,0.70,11.98,-0.49,-0.03,-0.17,-9.19,-9.50,-24.25,0.9377,0.3389,0.0082,-0.0758,32,87,79
1749725783.2917128,11.06,-3.44,-49.75,-0.61,-3.08,3.50,-1.21,4.39,9.81,2.60,-0.31,0.39,-9.38,-9.25,-24.06,0.9025,0.4218,-0.0071,-0.0875,32,79,72
1749725783.4267142,10.88,-1.69,-69.62,-0.37,-6.16,-4.42,-0.66,3.02,-1.02,2.38,0.27,0.11,-10.00,-14.25,-21.75,0.8170,0.5703,-0.0361,-0.0778,32,73,69
1749725783.5658405,7.31,-2.06,-71.56,-1.57,12.89,-1.10,-1.93,22.19,1.98,1.23,-0.53,-0.13,-8.06,-17.75,-20.37,0.8058,0.5895,-0.0169,-0.0540,32,75,75
1749725783.690791,7.50,-1.56,-71.12,1.40,-1.20,-1.94,1.13,8.07,1.21,-1.76,0.37,-0.28,-8.50,-20.06,-17.25,0.8163,0.5748,-0.0180,-0.0535,32,79,80
1749725783.8279893,7.06,-2.06,-59.69,1.63,0.09,-5.69,1.27,8.47,-0.60,-1.77,-0.07,0.04,-6.56,-16.37,-19.25,0.8696,0.4907,-0.0095,-0.0538,32,79,79
1749725783.963032,8.88,-4.81,-41.25,-0.24,-1.96,-1.62,-1.07,4.48,5.71,-2.66,-0.14,-0.46,-6.75,-11.75,-23.69,0.9364,0.3425,0.0178,-0.0741,32,170,82
1749725784.1236298,10.56,-5.94,-26.19,-0.01,-3.15,3.31,-1.03,1.15,12.07,-0.93,-0.31,-0.10,-6.69,-3.19,-27.25,0.9686,0.2298,0.0323,-0.0898,32,171,0
1749725784.261547,11.75,-5.94,-35.50,-0.56,-6.05,2.08,-1.58,-0.38,10.02,2.22,-0.04,0.21,-6.25,-4.19,-26.19,0.9461,0.3080,0.0233,-0.0974,32,166,75
