time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749724577.908674,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,73,80
1749724578.0373082,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,72,80
1749724578.1726599,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,32,73,81
1749724578.306283,0.06,3.25,-81.50,-0.23,-0.66,-0.04,0.31,9.00,1.36,0.00,-0.01,0.00,-19.69,-36.06,-24.37,0.7574,0.6518,-0.0383,-0.0007,32,73,81
1749724578.4379046,0.19,3.19,-81.50,-0.21,-0.64,-0.16,0.33,9.03,1.27,-0.01,-0.01,-0.00,-19.69,-35.38,-23.56,0.7573,0.6520,-0.0381,-0.0013,32,72,81
1749724578.568294,0.25,3.13,-81.50,-0.15,-0.69,-0.26,0.38,8.99,1.17,0.01,0.01,-0.01,-20.06,-35.75,-22.75,0.7571,0.6521,-0.0381,-0.0019,32,72,80
1749724578.7075317,0.31,3.06,-81.56,-0.28,-0.63,-0.12,0.24,9.05,1.30,-0.01,0.01,-0.00,-19.69,-36.06,-21.87,0.7571,0.6523,-0.0378,-0.0023,32,72,81
1749724578.8404298,0.37,3.06,-81.56,-0.21,-0.69,-0.12,0.30,9.03,1.34,-0.00,0.02,0.01,-11.69,-22.19,-14.69,0.7570,0.6523,-0.0378,-0.0025,32,72,80
1749724578.9661102,0.37,3.06,-81.50,-0.08,-0.72,-0.19,0.45,8.95,1.24,-0.00,-0.01,0.00,-11.75,-21.87,-14.50,0.7573,0.6520,-0.0382,-0.0027,32,72,80
1749724579.0950541,0.37,3.13,-81.44,0.00,-0.70,-0.07,0.53,8.98,1.36,-0.03,-0.02,0.01,-12.19,-22.19,-12.88,0.7575,0.6517,-0.0385,-0.0027,32,72,80
1749724579.2300653,0.31,3.19,-81.44,0.00,-0.77,-0.05,0.54,8.91,1.39,0.00,-0.01,0.02,-11.38,-21.06,-13.69,0.7575,0.6516,-0.0391,-0.0024,32,72,81
1749724579.3627956,0.25,3.31,-81.44,-0.10,-0.67,-0.14,0.45,9.01,1.27,0.01,0.01,0.01,-12.19,-21.87,-13.25,0.7576,0.6515,-0.0399,-0.0017,32,72,81
1749724579.4981358,0.19,3.31,-81.50,-0.17,-0.68,-0.14,0.40,8.99,1.30,-0.00,0.02,0.02,-11.69,-21.37,-14.19,0.7574,0.6517,-0.0399,-0.0012,32,72,80
1749724579.6346333,0.12,3.38,-81.50,-0.07,-0.66,-0.10,0.50,9.02,1.34,-0.00,-0.01,0.01,-11.69,-21.00,-12.88,0.7574,0.6517,-0.0400,-0.0010,32,72,80
1749724579.7699964,0.12,3.38,-81.50,-0.05,-0.71,-0.16,0.52,8.96,1.28,-0.00,0.02,0.01,-12.06,-22.06,-13.69,0.7574,0.6517,-0.0400,-0.0012,32,72,81
1749724579.9020252,0.12,3.38,-81.50,-0.09,-0.69,-0.11,0.47,8.98,1.32,0.02,0.01,-0.01,-11.69,-21.00,-13.69,0.7573,0.6519,-0.0399,-0.0012,32,72,80
1749724580.026758,0.31,3.19,-81.50,-0.23,-0.67,-0.05,0.32,9.01,1.37,0.01,0.03,-0.02,-11.69,-21.69,-13.50,0.7571,0.6520,-0.0392,-0.0022,32,72,80
1749724580.1685755,0.37,3.13,-81.56,-0.17,-0.63,-0.05,0.36,9.05,1.37,-0.01,-0.01,-0.01,-11.69,-22.00,-14.00,0.7570,0.6523,-0.0389,-0.0029,32,72,80
1749724580.300395,0.37,3.13,-81.56,-0.19,-0.65,-0.07,0.36,9.02,1.40,-0.01,0.02,-0.01,-12.06,-22.00,-14.00,0.7571,0.6522,-0.0386,-0.0028,33,72,80
1749724580.427056,0.44,3.13,-81.50,-0.19,-0.70,-0.14,0.34,8.98,1.29,0.00,0.01,-0.01,-12.06,-21.69,-14.00,0.7573,0.6519,-0.0389,-0.0032,33,72,80
1749724580.5616388,0.44,3.13,-81.50,-0.14,-0.68,-0.15,0.39,9.00,1.29,0.00,-0.01,-0.00,-12.75,-21.25,-14.00,0.7574,0.6518,-0.0389,-0.0032,33,72,80
1749724580.69551,0.50,3.13,-81.50,-0.07,-0.77,-0.08,0.47,8.92,1.34,0.00,-0.02,-0.00,-12.69,-21.69,-12.69,0.7574,0.6517,-0.0392,-0.0035,33,72,80
1749724580.8336694,0.56,3.13,-81.44,-0.22,-0.68,0.01,0.31,8.99,1.47,-0.02,0.02,0.00,-12.25,-21.25,-13.06,0.7576,0.6515,-0.0395,-0.0037,33,72,80
1749724580.968195,0.50,3.13,-81.62,-0.16,-0.75,0.01,0.37,8.93,1.43,0.02,0.02,0.00,-11.56,-22.00,-13.88,0.7565,0.6527,-0.0398,-0.0036,33,72,80
