time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749724309.1126242,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,79,85
1749724309.2423837,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,80,84
1749724309.371861,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,79,84
1749724309.499893,359.88,7.81,-81.75,-0.06,-0.68,-0.04,1.27,8.93,1.34,0.00,0.01,-0.01,-21.87,-36.38,-23.75,0.7554,0.6490,-0.0901,0.0006,31,79,84
1749724309.6400604,359.81,7.88,-81.75,-0.28,-0.66,-0.02,1.07,8.96,1.35,0.01,0.00,0.01,-20.75,-36.38,-23.00,0.7556,0.6489,-0.0898,0.0011,31,79,83
1749724309.7653892,359.81,7.88,-81.75,-0.12,-0.65,-0.11,1.22,8.95,1.27,-0.01,-0.01,0.01,-20.37,-36.38,-20.87,0.7556,0.6487,-0.0901,0.0010,31,79,84
1749724309.9056883,359.88,7.88,-81.75,-0.17,-0.74,-0.15,1.17,8.87,1.23,0.01,0.00,-0.01,-20.06,-37.19,-21.37,0.7555,0.6489,-0.0901,0.0007,31,80,83
1749724310.0306807,359.94,7.81,-81.75,-0.15,-0.66,-0.11,1.20,8.93,1.27,-0.01,-0.01,-0.00,-12.75,-22.06,-12.75,0.7555,0.6489,-0.0904,0.0002,31,80,84
1749724310.1684992,359.94,7.81,-81.69,-0.13,-0.65,-0.04,1.20,8.95,1.35,-0.01,0.01,-0.00,-12.75,-22.06,-14.06,0.7558,0.6486,-0.0905,0.0001,31,79,83
1749724310.303775,359.94,7.81,-81.69,-0.23,-0.68,-0.09,1.10,8.92,1.30,0.01,0.02,0.02,-13.06,-23.00,-11.75,0.7560,0.6483,-0.0904,0.0001,31,79,83
1749724310.4372265,359.88,7.88,-81.69,-0.11,-0.64,-0.09,1.23,8.96,1.30,0.01,-0.01,0.01,-12.25,-22.87,-13.69,0.7559,0.6485,-0.0901,0.0008,31,79,84
1749724310.577672,359.75,7.94,-81.69,-0.05,-0.73,-0.16,1.29,8.87,1.23,0.00,-0.01,0.01,-12.69,-22.06,-12.88,0.7559,0.6485,-0.0904,0.0015,31,79,84
1749724310.7082968,359.63,8.00,-81.75,-0.18,-0.66,-0.16,1.20,8.95,1.24,0.00,0.01,0.02,-12.69,-22.06,-13.69,0.7556,0.6487,-0.0906,0.0024,31,79,83
1749724310.839573,359.50,8.06,-81.75,-0.16,-0.67,-0.09,1.21,8.93,1.29,0.00,0.01,0.00,-13.38,-22.75,-13.56,0.7556,0.6488,-0.0906,0.0029,31,79,84
1749724310.9740589,359.38,8.06,-81.94,-0.17,-0.61,-0.29,1.20,8.99,1.06,-0.01,0.01,0.02,-11.88,-21.00,-12.25,0.7546,0.6500,-0.0902,0.0040,31,79,83
1749724311.105972,359.31,8.13,-81.94,-0.05,-0.74,-0.20,1.34,8.86,1.15,-0.01,-0.01,0.01,-12.56,-22.06,-13.25,0.7545,0.6500,-0.0907,0.0043,31,79,84
1749724311.2483249,359.25,8.25,-81.87,-0.01,-0.67,-0.06,1.39,8.93,1.29,0.00,-0.01,0.02,-13.00,-22.00,-13.25,0.7546,0.6498,-0.0913,0.0049,31,78,84
1749724311.3751478,359.19,8.25,-81.87,-0.18,-0.65,-0.16,1.19,8.97,1.22,-0.01,0.01,0.00,-13.00,-22.75,-13.25,0.7546,0.6497,-0.0912,0.0050,31,79,84
1749724311.5148942,359.25,8.25,-81.81,-0.09,-0.64,-0.08,1.32,8.95,1.28,-0.02,-0.01,0.00,-12.56,-22.37,-13.25,0.7551,0.6492,-0.0914,0.0048,31,78,84
1749724311.6491559,359.25,8.25,-81.75,-0.17,-0.65,-0.10,1.24,8.94,1.27,-0.00,0.01,-0.00,-13.00,-21.69,-12.06,0.7555,0.6487,-0.0912,0.0048,31,78,84
1749724311.7818074,359.31,8.25,-81.62,-0.15,-0.59,-0.07,1.25,9.01,1.32,-0.01,0.02,0.00,-12.56,-22.06,-12.06,0.7561,0.6481,-0.0914,0.0046,31,78,84
1749724311.9090028,359.38,8.25,-81.50,-0.14,-0.75,-0.10,1.27,8.83,1.32,-0.02,-0.01,-0.00,-13.38,-22.37,-13.19,0.7568,0.6471,-0.0920,0.0041,31,78,84
1749724312.0470715,359.38,8.31,-81.44,-0.14,-0.67,-0.08,1.27,8.92,1.35,-0.01,-0.02,0.01,-12.56,-21.69,-12.38,0.7573,0.6464,-0.0925,0.0040,31,78,84
1749724312.1757278,359.31,8.38,-81.37,-0.06,-0.73,-0.02,1.37,8.85,1.42,0.00,0.00,0.01,-13.00,-22.37,-12.75,0.7576,0.6461,-0.0930,0.0043,31,78,84
1749724312.3169916,359.19,8.50,-81.37,-0.06,-0.67,-0.15,1.39,8.91,1.29,0.01,-0.00,0.01,-13.38,-22.75,-13.56,0.7576,0.6459,-0.0936,0.0051,31,78,84
1749724312.4377837,359.31,8.56,-81.31,0.10,-0.75,-0.16,1.57,8.82,1.29,0.03,-0.02,-0.03,-13.25,-22.19,-14.00,0.7579,0.6455,-0.0948,0.0042,31,78,83
1749724312.5740335,0.88,7.06,-80.37,1.31,-1.20,-0.09,2.56,8.53,1.52,-0.19,0.12,-0.47,-12.88,-22.25,-13.19,0.7640,0.6396,-0.0843,-0.0075,31,79,81
1749724312.708862,5.88,0.63,-79.00,2.34,-0.79,-1.19,2.33,8.82,0.69,-0.28,0.34,-1.27,-10.38,-20.87,-13.69,0.7711,0.6342,-0.0350,-0.0433,31,86,73
