time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749725642.2698338,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,79,83
1749725642.3946836,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,79,83
1749725642.5390484,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,32,79,83
1749725642.66561,0.12,0.56,-77.12,-0.01,-0.74,-0.14,0.06,8.73,2.10,0.02,-0.01,0.00,-17.75,-35.75,-24.25,0.7818,0.6235,-0.0076,-0.0009,32,80,83
1749725642.8032653,0.19,0.56,-77.12,-0.04,-0.73,-0.13,0.05,8.82,2.04,0.00,0.00,-0.02,-17.75,-35.75,-23.06,0.7818,0.6235,-0.0076,-0.0013,32,80,83
1749725642.9363327,0.31,0.50,-77.12,-0.10,-0.64,-0.10,0.00,8.91,2.08,0.01,-0.01,-0.00,-17.75,-35.00,-22.56,0.7819,0.6234,-0.0078,-0.0022,32,80,83
1749725643.0722623,0.37,0.44,-77.19,-0.07,-0.74,-0.20,0.09,8.88,2.04,-0.01,-0.02,0.01,-17.06,-35.00,-22.56,0.7816,0.6238,-0.0079,-0.0029,32,80,82
1749725643.1997397,0.44,0.44,-77.19,-0.04,-0.75,-0.13,0.04,8.80,2.03,0.00,-0.01,0.01,-18.56,-35.38,-23.37,0.7816,0.6238,-0.0081,-0.0032,32,79,83
1749725643.3302882,0.50,0.50,-77.19,-0.10,-0.69,-0.12,-0.01,8.86,2.04,0.01,-0.03,0.02,-17.37,-35.00,-21.75,0.7816,0.6238,-0.0085,-0.0035,32,79,82
1749725643.4677596,0.44,0.63,-77.19,-0.06,-0.73,-0.13,0.04,8.82,2.03,0.00,-0.00,0.01,-10.75,-21.56,-13.38,0.7816,0.6237,-0.0099,-0.0031,32,79,82
1749725643.5972288,0.31,0.75,-77.19,-0.04,-0.71,-0.04,0.11,8.86,2.09,-0.00,-0.02,0.01,-11.19,-21.56,-15.06,0.7816,0.6237,-0.0108,-0.0026,32,79,82
