time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749724491.258006,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,73,79
1749724491.385922,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,74,79
1749724491.5217018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,73,79
1749724491.6489294,359.88,6.44,-86.56,-0.12,-0.69,0.01,0.98,9.03,0.58,-0.00,-0.02,-0.00,-20.75,-38.00,-20.69,0.7275,0.6818,-0.0773,0.0004,32,73,79
1749724491.785859,359.94,6.44,-86.56,-0.12,-0.67,-0.05,0.99,9.01,0.60,-0.02,0.01,0.00,-21.19,-37.56,-21.87,0.7277,0.6816,-0.0771,0.0004,32,73,79
1749724491.9215634,359.94,6.44,-86.50,-0.10,-0.71,0.00,1.00,9.00,0.58,-0.01,0.00,0.00,-21.19,-37.25,-20.25,0.7280,0.6813,-0.0774,0.0001,32,73,79
1749724492.0551686,0.00,6.44,-86.50,-0.11,-0.67,-0.03,0.98,9.05,0.55,-0.01,-0.01,0.00,-21.56,-38.00,-20.69,0.7280,0.6812,-0.0775,-0.0001,32,73,78
1749724492.175957,0.00,6.44,-86.44,-0.12,-0.70,0.00,0.97,9.01,0.60,-0.01,-0.01,-0.00,-20.75,-36.88,-20.69,0.7285,0.6807,-0.0776,-0.0002,32,73,79
1749724492.3121781,0.06,6.44,-86.37,-0.04,-0.72,-0.01,1.05,8.99,0.59,-0.01,0.00,0.00,-20.75,-37.56,-21.06,0.7288,0.6802,-0.0778,-0.0005,32,73,78
1749724492.4434507,0.12,6.44,-86.31,-0.10,-0.71,0.01,0.99,9.01,0.63,-0.01,-0.01,-0.00,-20.75,-37.25,-21.06,0.7290,0.6801,-0.0781,-0.0009,32,73,78
1749724492.5767972,0.19,6.44,-86.25,-0.16,-0.69,0.03,0.93,9.03,0.66,-0.02,0.01,0.00,-21.19,-38.00,-20.69,0.7294,0.6796,-0.0783,-0.0012,32,73,79
1749724492.7173176,0.19,6.44,-86.25,-0.04,-0.76,-0.03,1.06,8.97,0.56,-0.00,-0.01,0.00,-21.19,-37.25,-21.06,0.7295,0.6794,-0.0784,-0.0013,32,73,78
1749724492.8507128,0.25,6.44,-86.25,-0.08,-0.73,-0.01,1.01,8.98,0.61,-0.00,-0.01,0.00,-12.75,-23.19,-12.56,0.7295,0.6794,-0.0789,-0.0018,32,73,78
1749724492.9769006,0.25,6.44,-86.25,-0.11,-0.71,0.02,0.99,9.01,0.66,0.00,-0.00,0.00,-12.38,-22.06,-12.56,0.7296,0.6793,-0.0789,-0.0018,32,73,79
