time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749724680.2265694,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,76,84
1749724680.355604,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,76,84
1749724680.4926457,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,32,76,84
1749724680.624981,359.94,1.12,-82.12,-0.17,-0.69,0.01,0.06,9.08,1.27,0.01,-0.02,-0.01,-18.19,-36.50,-23.56,0.7537,0.6571,-0.0128,0.0003,32,76,84
1749724680.7601697,0.06,1.00,-82.12,-0.08,-0.79,0.00,0.08,8.91,1.34,0.01,0.01,-0.03,-17.75,-36.88,-22.75,0.7540,0.6569,-0.0119,-0.0005,32,76,83
1749724680.8933196,0.12,0.81,-82.06,-0.20,-0.72,0.03,-0.05,8.98,1.38,-0.00,0.02,-0.01,-18.56,-35.75,-22.75,0.7542,0.6565,-0.0109,-0.0010,32,76,83
1749724681.0219467,0.12,0.75,-82.00,-0.13,-0.72,-0.05,0.00,8.98,1.30,0.00,-0.01,-0.01,-17.75,-35.00,-22.25,0.7546,0.6561,-0.0103,-0.0012,32,76,83
1749724681.1562715,0.12,0.75,-81.94,-0.11,-0.67,-0.07,0.01,9.03,1.28,0.01,-0.01,-0.00,-12.00,-21.75,-13.19,0.7547,0.6560,-0.0099,-0.0012,32,76,83
1749724681.2872505,0.12,0.69,-81.94,-0.04,-0.72,0.00,0.08,8.98,1.36,-0.00,-0.00,-0.01,-10.50,-22.87,-13.19,0.7548,0.6559,-0.0096,-0.0012,32,76,83
1749724681.4287784,0.19,0.63,-81.94,-0.18,-0.71,-0.01,-0.07,8.99,1.35,0.00,0.01,-0.01,-11.69,-22.19,-14.06,0.7551,0.6556,-0.0090,-0.0014,32,76,83
1749724681.5625746,0.25,0.63,-81.87,-0.17,-0.70,-0.05,-0.04,8.99,1.30,0.01,-0.00,0.00,-11.25,-21.37,-11.56,0.7551,0.6555,-0.0090,-0.0017,33,76,83
1749724681.6846387,0.25,0.63,-81.87,0.00,-0.73,-0.06,0.11,8.96,1.31,0.01,-0.01,0.01,-10.88,-22.50,-13.56,0.7552,0.6555,-0.0093,-0.0018,33,76,83
1749724681.8262446,0.19,0.69,-81.94,-0.11,-0.73,-0.05,0.01,8.97,1.32,-0.01,0.01,0.01,-10.88,-21.75,-14.06,0.7550,0.6556,-0.0096,-0.0013,33,75,83
1749724681.949745,0.12,0.75,-81.94,-0.16,-0.71,-0.06,-0.03,8.99,1.31,-0.00,-0.01,0.01,-11.69,-21.75,-12.75,0.7550,0.6556,-0.0098,-0.0011,33,75,83
1749724682.0835524,0.06,0.75,-81.94,-0.01,-0.75,-0.01,0.11,8.95,1.35,-0.00,-0.02,0.01,-11.25,-21.75,-12.75,0.7550,0.6556,-0.0100,-0.0009,33,75,83
1749724682.219676,0.12,0.75,-81.94,-0.13,-0.72,-0.10,0.00,8.98,1.26,0.00,0.01,0.01,-10.88,-21.75,-13.19,0.7548,0.6559,-0.0100,-0.0009,33,75,83
1749724682.351616,0.12,0.75,-82.00,0.00,-0.75,-0.08,0.12,8.95,1.27,0.01,0.01,-0.00,-11.25,-22.19,-14.06,0.7546,0.6561,-0.0099,-0.0008,33,75,83
1749724682.481496,0.06,0.75,-82.06,-0.11,-0.69,-0.09,0.02,9.01,1.24,0.02,0.02,-0.01,-10.19,-21.75,-13.56,0.7542,0.6567,-0.0095,-0.0005,33,75,83
1749724682.61428,0.12,0.56,-82.00,-0.44,-0.50,-0.08,-0.33,9.20,1.26,-0.08,0.02,0.00,-10.88,-21.25,-12.06,0.7545,0.6563,-0.0079,-0.0010,33,75,83
1749724682.7489421,0.44,0.94,-81.56,-0.99,-0.74,-0.95,-0.83,8.95,0.47,-0.12,-0.21,0.31,-10.00,-21.25,-13.00,0.7571,0.6531,-0.0140,-0.0033,33,74,83
1749724682.889696,355.94,6.56,-79.44,-1.34,-1.29,-0.21,-0.22,8.27,1.57,-0.28,-0.19,1.20,-13.00,-20.50,-13.69,0.7688,0.6362,-0.0568,0.0307,33,67,91
1749724683.0219462,345.50,18.69,-78.56,1.63,-0.02,0.23,4.95,9.01,2.07,-0.20,-0.36,1.95,-14.69,-21.75,-14.56,0.7637,0.6223,-0.1381,0.1028,33,50,113
1749724683.171529,334.31,32.50,-76.75,2.27,-1.31,-0.69,7.54,6.73,1.19,-0.35,-0.21,1.25,-13.06,-22.00,-13.06,0.7529,0.5955,-0.2213,0.1716,33,32,0
1749724683.3061578,330.69,36.94,-75.31,3.39,-1.93,-0.66,9.29,5.65,1.31,0.13,0.10,-0.18,-13.50,-20.06,-14.19,0.7500,0.5805,-0.2491,0.1961,33,28,131
1749724683.4340982,333.00,30.50,-74.50,1.05,-0.97,-0.14,6.03,7.17,2.10,0.21,0.56,-1.45,-11.00,-21.06,-12.56,0.7635,0.5921,-0.1849,0.1793,33,41,119
1749724683.5633795,343.94,15.75,-75.69,0.14,-1.49,-0.76,2.58,7.70,1.56,0.10,0.59,-2.43,-5.75,-21.75,-14.19,0.7800,0.6123,-0.0790,0.1023,33,65,95
1749724683.7039647,0.63,-4.94,-76.00,-0.39,0.14,-1.80,-1.24,9.62,0.54,-0.43,0.45,-2.61,5.00,-21.69,-12.75,0.7874,0.6143,0.0511,-0.0046,33,95,66
