time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749724896.927061,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,80,86
1749724897.0535672,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,81,86
1749724897.1901546,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,80,86
1749724897.327825,0.06,2.00,-84.44,-0.11,-0.69,-0.14,0.24,9.05,0.76,-0.00,0.00,-0.01,-20.06,-37.25,-21.37,0.7405,0.6716,-0.0248,-0.0007,32,80,86
1749724897.4596987,0.12,2.00,-84.44,-0.15,-0.63,-0.14,0.19,9.11,0.79,0.02,-0.01,-0.01,-19.25,-35.75,-21.37,0.7404,0.6716,-0.0251,-0.0010,32,80,86
1749724897.5913966,0.12,2.00,-84.44,-0.07,-0.68,-0.12,0.30,9.07,0.78,-0.01,-0.01,0.00,-18.19,-36.50,-21.37,0.7405,0.6716,-0.0251,-0.0012,32,81,86
1749724897.7279985,0.19,2.00,-84.31,-0.03,-0.71,-0.13,0.32,9.03,0.82,-0.01,-0.00,0.01,-18.56,-37.25,-21.06,0.7410,0.6710,-0.0253,-0.0013,32,80,86
1749724897.8586287,0.19,2.00,-84.19,-0.07,-0.72,-0.09,0.27,9.02,0.89,-0.03,-0.01,0.01,-12.25,-21.56,-14.00,0.7419,0.6700,-0.0254,-0.0013,32,80,86
1749724897.9931095,0.12,2.13,-84.12,0.01,-0.71,-0.06,0.38,9.03,0.93,0.00,-0.02,0.01,-11.00,-22.00,-13.25,0.7422,0.6697,-0.0264,-0.0009,32,80,86
1749724898.11952,0.06,2.31,-83.87,0.15,-0.78,0.07,0.55,8.95,1.12,-0.03,-0.05,0.00,-11.19,-21.50,-12.69,0.7437,0.6679,-0.0282,-0.0010,32,79,86
1749724898.2563603,0.50,2.25,-84.37,-0.01,-0.68,-0.17,0.36,9.06,0.78,0.11,-0.04,-0.05,-12.06,-21.37,-12.50,0.7408,0.6710,-0.0295,-0.0032,32,80,86
1749724898.3919775,1.00,2.00,-84.75,0.07,-0.78,-0.04,0.42,8.97,0.84,-0.03,-0.08,-0.02,-11.25,-22.19,-12.06,0.7386,0.6733,-0.0306,-0.0072,32,80,85
