time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749725684.8282866,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,81,87
1749725684.9633448,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,81,87
1749725685.0907276,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,81,87
1749725685.2254257,0.06,1.94,-82.06,-0.06,-0.70,-0.10,0.27,8.99,1.24,-0.01,-0.02,-0.01,-18.56,-36.06,-23.06,0.7543,0.6561,-0.0237,-0.0007,32,81,87
1749725685.3640695,0.12,1.94,-82.00,-0.11,-0.70,-0.01,0.22,8.99,1.35,-0.00,-0.02,-0.01,-18.56,-36.88,-21.75,0.7546,0.6558,-0.0240,-0.0013,32,81,87
1749725685.4987686,0.31,1.81,-81.94,-0.08,-0.71,-0.06,0.23,8.98,1.35,-0.00,-0.00,-0.02,-17.37,-35.38,-21.37,0.7548,0.6555,-0.0234,-0.0023,32,81,86
1749725685.6262586,0.50,1.63,-81.94,-0.05,-0.72,-0.04,0.23,8.98,1.32,-0.00,-0.01,-0.01,-10.88,-21.87,-12.38,0.7549,0.6555,-0.0222,-0.0033,32,81,86
1749725685.76367,0.63,1.56,-82.00,-0.17,-0.72,0.01,0.09,8.97,1.37,-0.01,-0.02,-0.02,-11.25,-21.87,-13.56,0.7546,0.6558,-0.0218,-0.0044,32,81,86
1749725685.8922746,0.81,1.37,-81.94,-0.25,-0.71,-0.08,0.00,8.99,1.28,0.02,-0.00,0.01,-10.75,-21.56,-14.69,0.7548,0.6556,-0.0211,-0.0054,32,81,87
1749725686.0326073,0.81,1.37,-81.94,-0.10,-0.72,-0.13,0.13,8.98,1.22,0.00,-0.00,0.01,-9.88,-22.25,-12.50,0.7547,0.6557,-0.0212,-0.0056,32,81,87
1749725686.163125,0.88,1.37,-81.94,-0.05,-0.70,0.04,0.18,8.99,1.41,-0.01,-0.03,0.01,-11.38,-22.69,-12.50,0.7549,0.6555,-0.0215,-0.0061,32,81,87
1749725686.2987833,1.06,1.37,-81.87,-0.01,-0.72,0.08,0.24,8.98,1.47,0.04,-0.04,-0.00,-10.19,-22.00,-13.00,0.7550,0.6553,-0.0230,-0.0073,32,81,87
1749725686.4210284,1.31,1.31,-82.31,-0.03,-0.63,-0.21,0.19,9.08,1.09,0.02,0.04,-0.04,-11.06,-22.87,-11.25,0.7529,0.6577,-0.0229,-0.0087,32,81,87
1749725686.5567157,1.63,0.88,-82.25,-0.22,-0.80,-0.09,-0.06,8.91,1.22,-0.03,-0.03,-0.02,-10.69,-21.37,-12.19,0.7529,0.6578,-0.0200,-0.0107,32,82,87
1749725686.6978452,1.88,0.75,-82.06,-0.02,-0.77,0.05,0.10,8.93,1.40,-0.01,-0.01,-0.03,-10.00,-22.06,-12.06,0.7542,0.6563,-0.0197,-0.0128,32,82,86
1749725686.831142,2.00,0.63,-82.00,0.04,-0.76,-0.09,0.16,8.94,1.25,-0.02,0.02,0.00,-11.50,-22.06,-12.50,0.7544,0.6560,-0.0191,-0.0131,32,82,86
1749725686.9570627,1.69,0.56,-81.87,-0.21,-0.73,-0.09,-0.11,8.96,1.28,0.00,0.04,0.02,-10.25,-21.56,-12.88,0.7551,0.6553,-0.0165,-0.0112,32,82,86
1749725687.0943885,1.50,0.75,-81.69,0.27,-0.75,-0.08,0.40,8.94,1.32,-0.01,-0.01,0.02,-11.06,-21.37,-12.06,0.7562,0.6541,-0.0179,-0.0100,32,81,86
1749725687.222009,1.31,0.88,-81.69,0.05,-0.82,-0.07,0.21,8.88,1.33,0.01,0.00,0.01,-10.19,-21.69,-13.25,0.7562,0.6541,-0.0179,-0.0090,32,80,86
1749725687.3651848,1.25,0.81,-81.69,-0.04,-0.67,-0.08,0.09,9.03,1.32,0.00,0.02,-0.01,-10.25,-22.50,-12.50,0.7562,0.6540,-0.0168,-0.0084,32,80,86
1749725687.4934433,1.19,0.75,-81.69,-0.01,-0.69,-0.13,0.11,8.97,1.33,-0.01,0.01,-0.00,-11.06,-21.69,-11.69,0.7563,0.6539,-0.0162,-0.0079,32,81,85
1749725687.6332102,1.12,0.75,-81.69,-0.06,-0.71,-0.04,0.06,8.98,1.36,-0.01,0.00,-0.01,-10.25,-22.06,-13.25,0.7563,0.6540,-0.0157,-0.0078,32,81,85
