time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749725164.9250164,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,82,89
1749725165.0546515,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,82,89
1749725165.1937673,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,32,81,89
1749725165.3269696,359.69,-1.63,-84.75,0.08,-0.70,0.22,-0.18,9.01,1.29,-0.06,-0.04,0.01,-18.19,-35.38,-23.06,0.7388,0.6736,0.0211,0.0016,32,81,88
1749725165.464129,359.69,-1.56,-84.19,0.20,-0.63,-0.13,-0.06,9.12,0.85,-0.04,-0.01,-0.00,-18.87,-35.00,-23.06,0.7419,0.6701,0.0201,0.0016,32,81,88
1749725165.5880873,359.75,-1.63,-83.94,0.07,-0.72,-0.14,-0.21,9.02,0.88,0.01,0.03,-0.03,-18.19,-34.56,-22.25,0.7433,0.6686,0.0212,0.0016,32,81,88
1749725165.730328,359.81,-1.81,-83.81,0.07,-0.73,0.25,-0.22,8.91,1.37,-0.03,-0.03,0.00,-10.50,-21.56,-13.00,0.7441,0.6676,0.0222,0.0010,32,81,89
1749725165.8672721,359.69,-1.81,-83.50,-0.01,-0.75,0.09,-0.33,8.98,1.20,-0.01,0.03,-0.01,-10.50,-21.25,-13.00,0.7458,0.6658,0.0229,0.0019,32,80,89
1749725165.997142,359.50,-1.75,-83.37,0.11,-0.75,0.04,-0.19,8.97,1.17,-0.01,0.02,0.00,-11.25,-20.50,-13.06,0.7467,0.6647,0.0239,0.0032,32,81,89
1749725166.127009,359.38,-1.75,-83.37,0.03,-0.68,-0.06,-0.17,9.02,1.13,0.00,0.01,-0.02,-10.06,-20.50,-13.75,0.7466,0.6648,0.0247,0.0039,32,80,89
1749725166.26401,359.38,-1.81,-83.37,-0.03,-0.71,0.05,-0.34,9.01,1.18,0.01,-0.00,-0.01,-10.88,-21.19,-13.38,0.7468,0.6646,0.0251,0.0039,32,81,89
1749725166.3930585,359.25,-1.81,-83.25,0.03,-0.74,-0.04,-0.28,8.98,1.10,0.02,0.02,-0.00,-10.88,-21.56,-12.50,0.7471,0.6642,0.0256,0.0046,32,81,89
1749725166.5333142,359.25,-1.81,-83.31,0.02,-0.73,-0.03,-0.23,9.00,1.12,0.00,0.01,0.02,-10.88,-21.19,-13.75,0.7471,0.6642,0.0256,0.0049,32,80,88
1749725166.660234,359.06,-1.69,-83.25,0.09,-0.74,-0.03,-0.19,8.98,1.10,-0.01,-0.01,0.02,-11.25,-21.19,-13.38,0.7473,0.6641,0.0248,0.0057,32,80,88
1749725166.7947268,358.94,-1.50,-83.25,0.04,-0.71,0.05,-0.22,9.01,1.20,0.00,0.00,0.02,-11.25,-21.19,-13.75,0.7474,0.6639,0.0240,0.0067,32,80,88
1749725166.9270856,358.88,-1.44,-83.25,0.03,-0.68,-0.02,-0.21,9.02,1.13,-0.00,-0.02,0.01,-11.25,-20.75,-13.38,0.7474,0.6639,0.0234,0.0070,32,81,89
1749725167.0597758,358.88,-1.37,-83.25,0.06,-0.68,-0.04,-0.17,9.05,1.10,-0.01,-0.02,0.01,-10.50,-20.06,-14.56,0.7474,0.6639,0.0226,0.0071,32,80,88
1749725167.1945717,358.94,-1.37,-83.19,0.02,-0.73,-0.06,-0.21,9.00,1.09,0.00,0.00,0.00,-10.88,-20.75,-12.19,0.7475,0.6639,0.0223,0.0069,32,80,88
1749725167.3239853,358.94,-1.37,-83.12,0.07,-0.68,-0.01,-0.17,9.05,1.13,0.00,0.00,-0.00,-11.25,-20.50,-13.38,0.7479,0.6635,0.0222,0.0068,32,80,88
