time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749724750.41503,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,73,79
1749724750.5432065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,73,79
1749724750.6831093,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,73,79
1749724750.8101418,0.00,1.44,-85.56,-0.04,-0.63,0.01,0.20,9.13,0.77,-0.01,-0.01,0.00,-19.25,-36.88,-22.69,0.7339,0.6790,-0.0175,-0.0002,32,73,79
1749724750.9454625,0.12,1.37,-85.56,0.01,-0.78,-0.04,0.19,9.00,0.68,0.02,-0.00,-0.01,-18.87,-36.88,-21.50,0.7336,0.6794,-0.0174,-0.0009,32,74,78
1749724751.0761397,0.19,1.31,-85.62,-0.07,-0.70,0.00,0.15,9.06,0.73,0.01,0.02,-0.01,-17.37,-37.56,-21.06,0.7332,0.6798,-0.0172,-0.0012,32,73,78
1749724751.208295,0.25,1.31,-85.75,-0.05,-0.74,-0.10,0.16,9.03,0.61,0.02,0.01,-0.00,-18.56,-36.50,-21.06,0.7326,0.6804,-0.0173,-0.0016,32,74,79
1749724751.3461273,0.25,1.25,-85.75,0.00,-0.70,-0.06,0.21,9.06,0.65,0.00,-0.00,0.00,-18.19,-37.25,-21.50,0.7325,0.6805,-0.0171,-0.0016,32,73,78
1749724751.4741814,0.25,1.25,-85.75,0.03,-0.74,-0.01,0.23,8.99,0.66,0.01,-0.01,-0.01,-18.87,-36.88,-19.87,0.7325,0.6806,-0.0169,-0.0019,32,73,78
1749724751.6033082,0.25,1.19,-85.75,0.00,-0.69,-0.01,0.20,9.07,0.70,0.00,-0.01,-0.01,-18.19,-36.88,-21.06,0.7327,0.6804,-0.0166,-0.0020,32,74,78
1749724751.7340987,0.25,1.19,-85.69,-0.09,-0.74,-0.06,0.11,9.03,0.67,0.01,0.00,-0.00,-18.19,-36.88,-21.87,0.7331,0.6799,-0.0165,-0.0020,32,73,78
1749724751.8710012,0.25,1.19,-85.62,0.00,-0.71,0.04,0.20,9.06,0.78,0.02,0.00,0.01,-17.75,-37.25,-19.87,0.7334,0.6796,-0.0164,-0.0018,32,73,78
1749724752.0040734,0.19,1.25,-85.62,-0.07,-0.71,-0.03,0.13,9.01,0.70,0.01,0.00,0.01,-18.56,-37.25,-21.06,0.7335,0.6794,-0.0167,-0.0015,32,73,78
1749724752.1337535,0.19,1.31,-85.56,-0.06,-0.71,-0.03,0.15,9.05,0.71,0.00,0.00,0.00,-18.19,-36.50,-22.25,0.7336,0.6793,-0.0169,-0.0013,32,73,79
1749724752.2708929,0.19,1.31,-85.56,-0.02,-0.68,-0.06,0.20,9.09,0.68,-0.02,0.00,0.00,-18.56,-36.50,-21.50,0.7338,0.6791,-0.0168,-0.0013,32,73,78
1749724752.401117,0.12,1.31,-85.50,-0.02,-0.71,-0.06,0.20,9.05,0.69,-0.01,0.00,0.00,-18.87,-38.00,-20.25,0.7340,0.6790,-0.0167,-0.0012,32,73,78
1749724752.5382173,0.19,1.25,-85.50,-0.02,-0.68,-0.07,0.19,9.08,0.68,-0.01,-0.00,-0.01,-19.25,-36.50,-21.06,0.7341,0.6788,-0.0165,-0.0013,32,72,78
1749724752.6734164,0.19,1.25,-85.44,-0.11,-0.71,-0.13,0.10,9.05,0.63,-0.02,0.00,-0.01,-18.56,-36.50,-21.06,0.7344,0.6786,-0.0165,-0.0013,32,73,78
1749724752.798153,0.19,1.25,-85.37,-0.08,-0.64,0.00,0.13,9.12,0.79,-0.03,0.01,0.00,-18.56,-36.50,-20.25,0.7347,0.6782,-0.0165,-0.0013,32,72,78
1749724752.9353502,0.12,1.31,-85.37,-0.02,-0.76,-0.08,0.20,9.00,0.69,0.00,0.00,0.01,-10.88,-22.69,-11.50,0.7350,0.6779,-0.0167,-0.0012,32,72,78
1749724753.066557,0.06,1.37,-85.31,0.00,-0.63,-0.02,0.23,9.09,0.75,-0.01,-0.01,0.01,-12.00,-22.69,-12.00,0.7351,0.6777,-0.0170,-0.0005,32,73,77
1749724753.1981134,0.06,1.37,-85.31,0.00,-0.76,-0.04,0.24,9.00,0.75,-0.01,-0.01,0.01,-10.50,-21.56,-11.50,0.7353,0.6776,-0.0171,-0.0005,32,73,77
1749724753.3286614,0.06,1.37,-85.31,-0.04,-0.66,-0.13,0.19,9.10,0.66,0.00,-0.00,0.00,-11.56,-23.06,-13.56,0.7351,0.6777,-0.0172,-0.0006,32,72,78
1749724753.4646683,0.06,1.37,-85.25,-0.04,-0.63,-0.17,0.21,9.16,0.60,-0.07,0.00,0.02,-11.56,-22.69,-13.19,0.7358,0.6769,-0.0172,-0.0004,32,73,77
1749724753.601665,0.31,1.37,-84.31,0.07,-0.32,-0.62,0.32,9.42,0.36,-0.35,-0.12,0.01,-12.00,-21.19,-13.69,0.7420,0.6702,-0.0192,-0.0024,32,73,77
1749724753.724949,0.75,1.81,-80.44,0.12,0.00,-1.08,0.44,9.66,0.53,-0.89,0.00,0.13,-11.75,-21.06,-14.00,0.7634,0.6454,-0.0250,-0.0050,32,72,75
1749724753.863604,359.38,2.81,-71.44,-0.37,-0.51,-1.08,0.10,8.77,2.03,-1.90,0.13,0.18,-11.69,-20.25,-16.25,0.8173,0.5756,-0.0276,0.0048,32,71,75
1749724753.9961705,357.06,4.25,-55.69,-0.65,-1.53,0.85,0.07,6.54,6.35,-1.94,0.16,0.33,-12.56,-16.06,-19.75,0.8875,0.4592,-0.0310,0.0233,32,71,77
1749724754.123472,356.88,4.69,-47.69,-0.17,-2.44,1.60,0.45,4.85,7.98,-0.17,0.02,0.00,-11.50,-10.56,-20.87,0.9138,0.4039,-0.0341,0.0245,32,72,78
1749724754.2619963,357.38,4.69,-49.88,-0.49,-2.46,1.44,0.30,5.07,7.67,0.98,-0.10,-0.15,-12.25,-10.50,-21.00,0.9038,0.4260,-0.0359,0.0200,32,71,76
1749724754.3913984,358.81,4.13,-61.69,0.29,-3.00,0.88,1.00,5.60,5.52,1.80,-0.10,-0.14,-12.00,-12.25,-20.37,0.8580,0.5123,-0.0372,0.0087,32,70,75
1749724754.522725,0.31,3.06,-78.06,-0.11,-2.01,-1.59,0.41,7.56,0.42,2.41,-0.36,-0.23,-12.06,-17.37,-14.38,0.7766,0.6289,-0.0367,-0.0021,32,69,74
1749724754.6549814,5.81,-1.63,-95.19,-1.37,-0.87,0.10,-1.65,8.89,-0.78,2.13,-0.15,-1.17,-10.75,-22.69,-7.88,0.6734,0.7383,-0.0165,-0.0345,32,68,74
1749724754.7790139,10.25,-4.88,-103.62,-0.35,0.47,-1.03,-1.19,9.96,-3.34,-0.14,0.24,-0.02,-7.75,-22.75,-1.69,0.6163,0.7856,-0.0009,-0.0547,32,66,75
1749724754.9153552,5.00,-2.25,-97.12,-0.72,-0.64,-0.19,-1.02,9.10,-1.25,-1.64,0.49,0.89,-7.06,-23.19,-3.00,0.6671,0.7446,-0.0042,-0.0244,32,66,76
1749724755.0511093,358.44,3.63,-85.19,-0.42,0.45,-0.89,0.19,10.20,-0.08,-1.40,-0.24,0.20,-10.38,-22.50,-7.38,0.7359,0.6762,-0.0341,0.0098,32,67,77
1749724755.1832688,358.38,5.25,-70.87,-0.14,-1.81,-1.58,0.75,7.41,1.61,-2.22,-0.07,0.13,-10.19,-21.37,-11.56,0.8141,0.5785,-0.0481,0.0114,32,66,78
1749724755.3169303,357.69,6.75,-53.38,0.37,-2.90,-0.92,1.53,4.91,4.87,-2.51,0.20,0.32,-10.88,-15.69,-18.37,0.8973,0.4373,-0.0574,0.0189,32,66,78
1749724755.4656248,356.25,6.50,-38.38,-0.47,-2.66,1.75,0.64,3.38,9.39,-1.20,0.27,0.08,-11.38,-8.19,-21.06,0.9445,0.3235,-0.0489,0.0311,32,65,0
1749724755.5938945,356.44,5.44,-37.94,-0.31,-3.09,1.70,0.61,2.99,9.33,1.10,-0.06,-0.21,-8.88,-6.50,-22.50,0.9424,0.3307,-0.0405,0.0281,32,66,73
1749724755.7322273,357.88,4.75,-50.63,-0.19,-2.88,-0.39,0.60,4.81,5.62,2.35,-0.11,-0.28,-9.06,-10.06,-21.00,0.8981,0.4379,-0.0380,0.0153,32,67,73
1749724755.8656785,359.06,3.00,-70.75,-0.65,-3.45,-0.86,-0.13,5.79,2.36,2.87,0.00,-0.31,-7.88,-16.87,-15.38,0.8151,0.5787,-0.0281,0.0064,32,67,73
1749724755.9949052,8.19,-4.50,-93.62,-0.50,0.56,-1.43,-1.27,10.31,-2.05,2.45,-0.54,-1.91,-6.88,-21.19,-10.56,0.6827,0.7291,0.0056,-0.0491,32,65,70
1749724756.1215181,17.00,-10.38,-108.87,-0.11,1.47,-1.73,-1.88,10.59,-4.86,0.57,0.33,-0.22,-2.19,-23.19,-0.88,0.5748,0.8129,0.0369,-0.0858,32,63,67
1749724756.256755,13.00,-9.00,-103.56,-0.23,0.66,-1.77,-1.77,10.07,-4.04,-1.98,0.13,0.53,0.50,-24.87,0.50,0.6234,0.7781,0.0366,-0.0679,32,63,68
1749724756.3793857,5.63,-4.19,-87.87,-0.67,-0.73,-1.86,-1.06,8.82,-0.42,-1.93,0.06,0.88,-0.88,-23.25,-4.38,0.7255,0.6873,0.0145,-0.0319,32,64,71
1749724756.516508,1.63,0.44,-72.25,-1.08,-1.25,-2.89,-0.97,8.00,0.34,-2.87,-0.28,0.13,-3.69,-21.75,-11.25,0.8157,0.5782,-0.0153,-0.0123,32,63,74
1749724756.643726,0.50,3.63,-48.63,-0.29,-2.49,-2.11,0.33,4.85,4.34,-3.03,-0.03,0.46,-5.38,-16.25,-19.00,0.9107,0.4113,-0.0371,-0.0044,32,63,78
1749724756.7979782,0.25,5.19,-31.37,0.57,-4.27,2.54,1.46,0.81,10.87,-1.45,-0.07,0.06,-5.69,-9.75,-21.50,0.9619,0.2694,-0.0477,-0.0022,32,64,0
1749724756.9557002,0.94,4.81,-31.94,0.38,-3.30,1.65,1.21,1.95,9.74,1.27,0.07,-0.22,-7.00,-4.88,-22.25,0.9588,0.2803,-0.0457,-0.0087,32,62,0
1749724757.0839145,2.44,2.00,-50.00,0.00,-2.91,-0.74,0.35,4.59,5.55,2.50,0.30,-0.27,-7.06,-8.06,-22.25,0.9058,0.4222,-0.0289,-0.0195,32,64,71
1749724757.2174037,3.63,-0.69,-68.94,0.37,-4.06,-1.22,0.20,5.18,2.02,3.10,0.22,-0.43,-3.88,-16.25,-17.06,0.8153,0.5783,-0.0085,-0.0271,32,64,69
1749724757.351722,14.88,-9.31,-93.75,-0.33,-2.12,-2.88,-1.92,7.52,-3.52,2.51,-0.34,-1.54,-1.06,-23.87,-7.75,0.6778,0.7294,0.0245,-0.0886,32,63,67
1749724757.4826744,25.06,-16.50,-109.00,-1.03,3.01,-1.26,-3.82,11.89,-4.32,0.68,0.36,-0.37,3.06,-23.87,-2.19,0.5724,0.8071,0.0692,-0.1274,32,61,65
1749724757.6112576,20.44,-15.25,-102.62,-0.76,0.45,-2.01,-3.34,9.69,-4.08,-2.05,-0.11,0.45,4.38,-23.00,-1.00,0.6264,0.7684,0.0718,-0.1094,32,61,65
1749724757.7466075,10.00,-8.63,-86.12,0.18,-1.72,-1.27,-1.28,7.94,-0.61,-1.81,0.08,0.97,1.75,-23.00,-7.75,0.7332,0.6760,0.0416,-0.0608,32,62,69
1749724757.8726323,7.13,-3.75,-71.12,-0.05,-1.30,-2.38,-0.70,7.95,0.77,-2.64,-0.67,0.22,1.50,-21.06,-11.06,0.8191,0.5714,0.0018,-0.0516,32,61,72
1749724758.0259953,5.63,0.56,-49.94,-0.33,-2.73,-2.48,-0.23,4.77,3.81,-3.21,-0.53,0.50,-2.56,-14.75,-19.69,0.9117,0.4073,-0.0291,-0.0441,32,61,0
1749724758.1862628,5.06,3.94,-30.56,1.05,-3.97,3.34,1.73,1.00,11.76,-0.65,-0.15,0.03,-3.50,-6.38,-23.00,0.9630,0.2617,-0.0477,-0.0430,32,60,0
1749724758.3363004,6.31,2.50,-37.00,0.13,-3.63,1.17,0.56,2.26,8.99,1.81,0.21,-0.33,-4.75,-5.56,-23.50,0.9438,0.3239,-0.0396,-0.0532,32,60,0
1749724758.4656224,8.25,-1.50,-56.56,0.27,-2.66,-1.37,-0.03,5.65,3.80,2.74,0.46,-0.34,-2.88,-12.25,-21.00,0.8718,0.4854,-0.0174,-0.0637,32,61,70
1749724758.5971186,11.56,-6.50,-80.69,0.17,-1.20,-1.52,-0.93,8.40,0.04,3.47,0.34,-0.91,0.19,-19.69,-13.75,0.7578,0.6479,0.0092,-0.0768,32,62,69
1749724758.728738,28.12,-18.50,-104.00,-0.24,0.35,-2.06,-3.36,9.38,-4.31,2.93,0.48,-1.17,4.50,-23.19,-6.19,0.6021,0.7811,0.0684,-0.1508,32,62,68
1749724758.8583996,31.31,-20.25,-111.37,-0.61,0.72,-1.68,-4.01,9.28,-5.04,-0.47,0.06,0.12,7.88,-22.75,1.50,0.5544,0.8134,0.0858,-0.1540,32,62,67
1749724758.9926012,23.94,-17.25,-98.87,0.27,-0.12,-2.02,-2.63,9.12,-3.47,-2.42,-0.29,0.95,8.06,-22.06,-0.56,0.6484,0.7465,0.0692,-0.1324,32,61,68
1749724759.1283016,13.25,-9.88,-81.69,-1.72,0.84,-1.58,-3.40,10.40,-0.18,-2.49,-0.33,1.08,4.75,-21.69,-7.88,0.7590,0.6447,0.0345,-0.0841,32,60,69
1749724759.2582748,9.19,-3.56,-60.81,0.31,-2.86,-2.75,-0.30,5.67,2.01,-3.24,-0.69,0.50,0.75,-18.50,-17.56,0.8671,0.4932,-0.0074,-0.0690,32,59,71
1749724759.403017,7.50,0.69,-39.63,0.86,-3.75,0.55,0.76,2.31,8.49,-2.61,-0.24,0.23,-0.37,-12.88,-20.37,0.9429,0.3259,-0.0297,-0.0615,32,61,0
1749724759.5801842,7.75,2.19,-27.25,0.80,-1.80,2.40,1.18,2.69,11.11,-0.00,0.03,-0.12,-3.00,-5.06,-23.25,0.9694,0.2339,-0.0358,-0.0657,32,0,0
1749724759.7370937,9.44,-1.00,-37.69,0.44,-2.88,0.44,0.26,3.11,8.20,2.10,0.47,-0.33,-1.69,-5.38,-24.06,0.9395,0.3329,-0.0153,-0.0788,32,61,0
1749724759.8686447,11.31,-6.56,-60.69,1.00,-2.71,-2.60,-0.11,5.77,2.16,3.08,0.62,-0.43,0.69,-13.19,-20.06,0.8578,0.5065,0.0168,-0.0853,32,63,66
1749724760.003302,14.50,-12.00,-85.94,-2.07,0.82,-3.64,-4.11,10.39,-2.96,3.77,0.54,-1.08,4.00,-19.56,-11.69,0.7252,0.6799,0.0569,-0.0924,32,63,66
1749724760.1360633,25.37,-19.69,-105.87,-1.02,0.58,-2.37,-4.33,9.46,-4.89,2.51,0.61,-0.73,6.00,-22.19,-5.56,0.5944,0.7856,0.1072,-0.1339,32,65,65
1749724760.2676892,24.31,-19.12,-110.37,-1.04,0.52,-1.37,-4.27,9.20,-4.61,-0.97,-0.12,0.13,9.75,-22.69,0.88,0.5704,0.8040,0.1155,-0.1218,32,66,65
1749724760.397884,18.87,-16.75,-96.44,-0.49,0.21,-3.34,-3.32,9.54,-4.40,-2.06,-0.26,0.70,9.19,-22.25,-1.56,0.6663,0.7319,0.0944,-0.1066,32,64,66
1749724760.5298102,13.50,-11.50,-83.31,-0.97,1.41,-1.03,-2.93,10.95,0.08,-1.63,-0.45,0.83,6.50,-22.69,-7.56,0.7468,0.6574,0.0527,-0.0861,32,63,70
1749724760.6544108,12.50,-7.75,-71.37,1.20,-2.24,-0.12,-0.12,6.96,2.97,-1.24,-0.48,0.18,3.88,-20.69,-14.56,0.8100,0.5794,0.0179,-0.0889,32,66,72
1749724760.785057,11.88,-6.25,-65.19,0.21,-0.94,0.59,-1.01,7.66,5.04,-0.13,-0.03,0.06,2.50,-18.50,-16.19,0.8373,0.5397,0.0090,-0.0870,32,68,74
1749724760.919679,11.69,-6.63,-67.00,-0.36,-1.01,-0.03,-1.51,7.97,3.72,0.54,0.17,-0.04,2.88,-18.75,-17.37,0.8272,0.5552,0.0140,-0.0848,32,69,72
1749724761.0460708,11.31,-6.81,-71.62,0.34,-0.55,0.09,-0.82,8.68,3.16,0.58,0.04,0.13,3.69,-19.56,-14.56,0.8062,0.5860,0.0157,-0.0800,32,69,73
1749724761.1870143,10.94,-6.81,-75.62,-0.36,-0.41,-0.67,-1.53,9.02,1.73,0.42,0.16,0.02,3.75,-19.56,-13.25,0.7856,0.6138,0.0170,-0.0753,32,69,73
1749724761.3190365,10.31,-6.75,-76.81,0.05,-0.54,-0.40,-1.10,8.93,1.81,0.20,0.14,0.03,3.25,-21.87,-12.50,0.7791,0.6226,0.0201,-0.0701,32,69,73
1749724761.4494853,10.31,-6.88,-77.12,0.08,-0.54,-0.38,-1.18,8.95,1.55,0.02,-0.02,-0.00,2.50,-21.06,-12.88,0.7779,0.6241,0.0205,-0.0704,32,68,73
1749724761.5843043,10.25,-7.00,-77.19,-0.07,-0.67,-0.49,-1.26,8.81,1.66,0.02,-0.01,-0.03,3.56,-21.75,-11.69,0.7779,0.6241,0.0221,-0.0701,32,69,74
1749724761.7189922,10.44,-7.31,-77.37,-0.36,-0.79,-0.38,-1.61,8.69,1.73,-0.02,0.03,-0.04,4.00,-22.56,-13.25,0.7766,0.6254,0.0250,-0.0712,32,69,73
1749724761.841463,10.69,-7.50,-77.31,0.05,-0.77,-0.25,-1.22,8.71,1.87,-0.02,-0.02,-0.03,4.06,-21.37,-12.06,0.7768,0.6250,0.0257,-0.0730,32,69,73
1749724761.9817824,10.81,-7.63,-77.12,0.06,-0.67,0.00,-1.22,8.80,2.12,0.01,0.01,-0.01,3.75,-21.06,-12.50,0.7776,0.6238,0.0268,-0.0739,32,69,73
1749724762.111663,10.88,-7.81,-77.12,0.11,-0.75,-0.13,-1.44,8.74,2.04,0.00,0.04,-0.02,3.75,-21.37,-14.06,0.7775,0.6238,0.0286,-0.0741,32,69,72
1749724762.2381132,10.94,-8.00,-77.19,-0.13,-0.73,-0.07,-1.50,8.72,2.07,-0.01,0.03,-0.01,3.69,-21.06,-12.88,0.7773,0.6240,0.0303,-0.0745,32,69,73
1749724762.368636,11.06,-8.19,-77.19,-0.24,0.07,-0.09,-1.64,9.54,2.05,0.00,0.01,-0.02,4.69,-22.19,-13.25,0.7772,0.6239,0.0316,-0.0754,32,70,72
1749724762.5071647,11.19,-8.31,-77.19,-0.21,0.17,-0.14,-1.64,9.63,2.00,0.01,0.01,0.00,3.25,-20.25,-12.88,0.7769,0.6241,0.0321,-0.0765,32,70,73
1749724762.641792,11.31,-8.44,-77.19,-0.29,0.03,0.00,-1.73,9.49,2.14,-0.00,-0.02,0.01,4.00,-21.06,-13.25,0.7767,0.6242,0.0326,-0.0770,32,69,72
1749724762.7666173,11.31,-8.44,-77.06,-0.18,-0.03,-0.02,-1.67,9.40,2.20,-0.03,-0.01,0.01,3.75,-21.75,-13.25,0.7775,0.6233,0.0325,-0.0774,32,69,72
1749724762.9041696,11.38,-8.44,-76.87,-0.19,0.07,0.06,-1.64,9.52,2.26,-0.02,-0.02,0.00,4.06,-21.06,-12.88,0.7784,0.6220,0.0324,-0.0779,32,69,72
1749724763.0319176,11.44,-8.50,-76.69,-0.13,-0.23,0.15,-1.58,9.20,2.38,-0.08,0.02,-0.01,3.69,-21.06,-14.06,0.7795,0.6206,0.0327,-0.0781,32,69,72
1749724763.1636333,11.44,-8.56,-76.50,-0.16,-0.11,0.05,-1.63,9.31,2.31,-0.01,0.01,-0.01,4.38,-20.25,-12.06,0.7804,0.6194,0.0337,-0.0783,32,69,72
1749724763.2910984,11.44,-8.63,-76.50,0.00,-0.02,-0.05,-1.43,9.35,2.28,-0.01,-0.00,0.01,2.56,-21.37,-12.88,0.7805,0.6193,0.0343,-0.0782,32,69,72
1749724763.426706,11.44,-8.69,-76.50,-0.13,0.00,0.02,-1.62,9.42,2.28,-0.01,0.00,0.00,4.06,-21.06,-12.88,0.7805,0.6193,0.0348,-0.0782,32,69,72
1749724763.558979,11.38,-8.69,-76.44,-0.01,0.00,0.03,-1.50,9.42,2.30,-0.02,-0.00,0.01,3.38,-21.06,-12.88,0.7808,0.6190,0.0350,-0.0781,32,69,72
1749724763.688959,11.44,-8.69,-76.44,-0.09,-0.02,0.04,-1.57,9.39,2.32,-0.01,-0.00,0.01,4.06,-21.37,-13.25,0.7808,0.6188,0.0351,-0.0783,32,69,73
1749724763.8221266,11.44,-8.75,-76.37,-0.14,0.04,-0.04,-1.64,9.46,2.23,-0.01,-0.00,0.00,3.75,-20.69,-13.25,0.7810,0.6186,0.0356,-0.0782,32,69,72
1749724763.9537497,11.44,-8.75,-76.31,-0.21,0.06,0.00,-1.71,9.47,2.29,-0.00,-0.00,-0.00,4.38,-20.25,-13.25,0.7813,0.6181,0.0358,-0.0787,32,69,72
1749724764.090985,11.50,-8.81,-76.25,-0.18,0.01,0.03,-1.65,9.43,2.30,0.00,0.01,0.02,4.75,-20.69,-12.88,0.7815,0.6179,0.0356,-0.0790,32,69,73
1749724764.2183287,11.50,-8.81,-76.25,0.03,0.05,0.00,-1.46,9.47,2.28,-0.00,-0.01,0.01,4.06,-21.37,-13.75,0.7816,0.6178,0.0355,-0.0791,32,69,73
1749724764.349617,11.50,-8.81,-76.25,-0.02,0.03,0.03,-1.53,9.44,2.33,0.00,0.00,0.00,4.75,-21.37,-12.50,0.7816,0.6178,0.0357,-0.0790,32,69,72
1749724764.4841592,11.44,-8.81,-76.31,-0.04,-0.01,0.05,-1.55,9.39,2.34,0.00,0.01,-0.01,3.75,-21.06,-12.88,0.7813,0.6182,0.0364,-0.0785,32,69,72
1749724764.6154435,11.44,-8.81,-76.31,-0.02,-0.03,0.00,-1.53,9.37,2.29,0.01,0.01,0.00,4.38,-20.69,-12.88,0.7813,0.6182,0.0364,-0.0782,32,69,72
1749724764.7532685,11.38,-8.81,-76.44,-0.11,0.01,0.00,-1.63,9.45,2.32,0.01,0.01,0.01,4.06,-20.69,-14.06,0.7809,0.6188,0.0367,-0.0779,32,69,72
1749724764.8825052,11.38,-8.81,-76.50,-0.12,-0.05,0.02,-1.63,9.36,2.28,0.01,0.01,0.00,3.75,-20.69,-13.75,0.7805,0.6192,0.0367,-0.0777,32,69,72
1749724765.0098164,11.31,-8.75,-76.62,-0.09,0.01,-0.09,-1.59,9.44,2.13,0.04,-0.01,0.00,4.06,-19.87,-12.88,0.7797,0.6204,0.0365,-0.0776,32,69,72
1749724765.1432846,11.56,-8.81,-76.37,0.00,0.21,-0.22,-1.51,9.63,2.05,-0.11,-0.09,-0.04,3.69,-21.06,-13.25,0.7809,0.6185,0.0355,-0.0794,32,68,72
1749724765.2836573,11.63,-8.50,-72.25,-0.46,1.67,-1.93,-1.92,10.91,1.01,-0.98,-0.19,0.18,3.75,-19.87,-13.00,0.8053,0.5864,0.0313,-0.0817,32,68,71
1749724765.4024882,10.13,-6.56,-61.13,-0.81,0.03,-1.97,-2.10,8.71,2.93,-2.18,-0.34,0.21,3.69,-17.69,-16.69,0.8621,0.5007,0.0203,-0.0759,32,67,71
1749724765.5326838,9.06,-2.56,-42.38,0.44,-1.48,-0.41,0.06,4.92,6.99,-2.82,-0.59,0.29,1.88,-14.06,-19.06,0.9341,0.3494,-0.0067,-0.0737,32,67,73
1749724765.6886775,8.69,-0.37,-28.00,0.74,-3.12,3.74,0.67,1.43,12.42,-0.53,-0.08,-0.04,-1.00,-4.69,-24.00,0.9681,0.2391,-0.0146,-0.0739,32,69,0
1749724765.8205645,9.88,-2.50,-34.88,0.44,-2.59,1.35,0.01,3.00,9.39,2.03,0.42,-0.30,0.19,-4.69,-23.25,0.9471,0.3100,-0.0015,-0.0831,32,67,70
1749724765.9516609,11.06,-6.75,-52.63,0.50,-2.71,-1.23,-0.65,5.03,4.67,2.98,0.67,-0.22,2.75,-11.38,-21.56,0.8841,0.4586,0.0249,-0.0865,32,66,68
1749724766.0871947,12.88,-10.44,-77.44,0.25,-0.59,-2.28,-2.41,8.90,0.15,3.67,0.90,-0.60,4.69,-16.19,-16.00,0.7621,0.6395,0.0502,-0.0877,32,64,67
1749724766.2238019,24.44,-19.19,-99.00,-0.59,0.82,-1.79,-3.87,9.91,-3.41,1.83,0.12,-0.63,8.38,-21.50,-6.25,0.6305,0.7573,0.0963,-0.1406,32,64,68
1749724766.3479674,26.56,-20.25,-105.19,-0.73,1.45,-3.00,-4.13,10.33,-5.42,-0.53,0.00,0.09,10.56,-21.50,-2.19,0.5975,0.7823,0.1050,-0.1414,32,64,68
1749724766.483036,19.62,-16.62,-92.69,-0.51,-0.71,-0.72,-3.23,8.70,-0.99,-1.92,-0.02,0.98,10.56,-20.75,-4.25,0.6878,0.7119,0.0837,-0.1141,32,64,68
1749724766.614364,12.88,-10.69,-76.75,-0.82,1.56,-3.58,-2.64,10.94,-1.37,-2.68,-0.27,0.85,6.75,-21.50,-11.19,0.7868,0.6094,0.0472,-0.0858,32,62,68
1749724766.741724,9.75,-5.06,-54.06,0.05,-2.74,-1.38,-0.81,5.16,4.34,-3.04,-0.61,0.59,4.69,-18.19,-17.69,0.8868,0.4557,0.0110,-0.0759,32,61,67
1749724766.8706872,8.75,-0.88,-36.50,1.73,-4.21,4.36,1.57,1.61,12.24,-0.90,-0.31,0.09,1.19,-9.38,-23.00,0.9482,0.3087,-0.0168,-0.0729,32,58,66
1749724766.9985259,9.69,-1.00,-39.06,1.39,-2.47,1.81,1.21,3.70,9.41,1.36,0.21,-0.23,0.06,-7.06,-23.37,0.9364,0.3411,-0.0179,-0.0806,32,57,65
1749724767.1310835,11.00,-4.69,-53.31,0.20,-1.93,0.42,-0.60,5.90,6.25,2.43,0.51,-0.32,0.75,-10.50,-23.00,0.8834,0.4605,0.0046,-0.0862,32,59,67
1749724767.2622833,12.56,-8.88,-73.06,0.77,-3.84,0.70,-0.87,6.09,1.02,3.46,0.62,-0.55,4.25,-17.19,-16.50,0.7871,0.6094,0.0339,-0.0890,32,61,68
1749724767.3917499,22.56,-16.37,-97.31,0.86,-0.30,-2.59,-1.91,9.02,-3.79,2.99,0.41,-1.12,8.00,-22.75,-7.19,0.6380,0.7551,0.0723,-0.1327,32,61,67
