time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749725379.0620136,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,83,90
1749725379.1849134,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,83,90
1749725379.3148198,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,83,91
1749725379.4574397,359.94,-4.38,-80.94,0.11,-0.71,-0.07,-0.63,8.93,1.46,-0.00,0.00,0.01,-17.06,-33.06,-22.69,0.7606,0.6473,0.0502,0.0001,32,83,90
1749725379.5930817,359.88,-4.25,-80.87,0.06,-0.70,-0.09,-0.66,8.95,1.44,-0.01,-0.00,0.01,-15.56,-34.25,-23.06,0.7606,0.6473,0.0497,0.0005,32,83,91
1749725379.7264132,359.88,-4.25,-80.87,0.15,-0.68,-0.06,-0.59,8.98,1.48,-0.00,0.02,-0.00,-16.69,-35.00,-23.06,0.7607,0.6472,0.0499,0.0008,32,82,91
1749725379.8615894,359.75,-4.25,-80.94,0.15,-0.76,-0.08,-0.58,8.88,1.45,-0.01,0.00,-0.01,-16.69,-33.88,-22.69,0.7606,0.6473,0.0504,0.0013,32,82,91
1749725379.995123,359.75,-4.31,-80.94,0.00,-0.72,-0.05,-0.73,8.93,1.47,0.01,0.02,0.00,-16.25,-34.25,-23.06,0.7604,0.6475,0.0507,0.0013,32,83,91
1749725380.120656,359.75,-4.31,-80.94,0.05,-0.75,-0.21,-0.68,8.90,1.31,0.01,-0.01,-0.00,-16.69,-33.50,-22.25,0.7603,0.6475,0.0507,0.0013,32,82,91
1749725380.263297,359.81,-4.31,-80.94,0.07,-0.74,-0.08,-0.67,8.91,1.45,0.00,0.00,-0.01,-16.69,-33.50,-21.06,0.7604,0.6475,0.0508,0.0010,32,82,90
1749725380.3975804,359.81,-4.31,-80.94,0.06,-0.75,-0.08,-0.70,8.88,1.43,-0.00,0.00,-0.00,-16.69,-33.50,-21.87,0.7604,0.6475,0.0508,0.0010,32,82,89
1749725380.5289216,359.75,-4.31,-80.94,0.04,-0.03,0.02,-0.70,9.62,1.56,-0.02,0.00,-0.00,-16.25,-33.88,-22.25,0.7606,0.6473,0.0510,0.0012,32,82,90
1749725380.6601183,359.75,-4.31,-80.94,0.07,-0.05,-0.01,-0.67,9.60,1.52,-0.01,-0.00,0.01,-16.25,-33.06,-22.25,0.7606,0.6472,0.0514,0.0015,32,82,89
1749725380.7940736,359.69,-4.31,-80.94,0.05,-0.09,0.03,-0.72,9.58,1.60,-0.00,0.00,0.00,-15.88,-33.88,-21.50,0.7606,0.6473,0.0512,0.0020,32,82,89
1749725380.9256403,359.69,-4.31,-80.94,0.00,-0.06,-0.08,-0.73,9.59,1.44,0.01,-0.01,-0.00,-15.88,-34.25,-22.69,0.7605,0.6473,0.0513,0.0020,32,82,90
1749725381.063956,359.69,-4.31,-80.87,0.00,-0.02,-0.01,-0.71,9.60,1.57,-0.01,0.00,0.00,-16.25,-33.88,-22.25,0.7607,0.6471,0.0513,0.0020,32,82,89
1749725381.1949737,359.69,-4.31,-80.87,0.03,-0.08,0.03,-0.70,9.57,1.57,-0.00,0.00,0.00,-16.25,-33.88,-22.69,0.7607,0.6471,0.0513,0.0021,32,82,89
1749725381.3290489,359.69,-4.31,-80.94,0.00,-0.08,-0.03,-0.73,9.57,1.49,0.03,-0.00,-0.00,-16.69,-33.50,-22.25,0.7604,0.6475,0.0509,0.0017,32,81,89
1749725381.468801,359.75,-4.31,-81.00,-0.06,-0.01,-0.01,-0.72,9.67,1.52,0.01,-0.02,0.00,-15.88,-34.56,-23.06,0.7600,0.6479,0.0507,0.0014,32,81,89
1749725381.5967402,359.69,-4.31,-81.19,-0.12,-0.03,0.02,-0.86,9.63,1.51,0.03,0.04,-0.00,-10.69,-21.06,-13.00,0.7590,0.6490,0.0514,0.0018,32,81,89
1749725381.7272787,359.69,-4.38,-81.44,-0.06,-0.03,0.02,-0.81,9.63,1.47,0.03,0.01,-0.01,-10.00,-20.00,-14.19,0.7574,0.6508,0.0522,0.0020,32,82,88
1749725381.865748,359.75,-4.44,-81.62,0.00,-0.05,-0.07,-0.73,9.60,1.32,0.01,-0.01,-0.01,-10.00,-19.56,-12.38,0.7563,0.6520,0.0526,0.0016,32,82,88
1749725381.996659,359.44,-4.38,-81.75,0.02,0.02,-0.24,-0.72,9.70,1.15,0.04,0.06,-0.00,-9.50,-21.19,-13.19,0.7559,0.6525,0.0537,0.0034,32,81,89
1749725382.1330376,358.63,-3.69,-82.00,-0.52,0.23,-0.32,-1.15,9.92,1.03,0.07,-0.21,0.20,-10.25,-21.06,-12.38,0.7543,0.6546,0.0490,0.0090,32,81,89
