time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749725584.3757877,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,77,86
1749725584.5056868,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,77,86
1749725584.645752,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,32,77,86
1749725584.7729719,359.88,-3.94,-81.12,0.00,-0.68,-0.18,-0.62,8.97,1.41,-0.03,-0.04,0.01,-15.56,-35.00,-22.56,0.7594,0.6490,0.0455,0.0003,32,78,86
1749725584.9090497,359.81,-3.69,-81.00,0.22,-0.70,0.00,-0.41,8.96,1.52,-0.05,-0.00,0.03,-15.56,-35.00,-21.37,0.7604,0.6481,0.0433,0.0010,32,77,86
1749725585.043115,359.69,-3.44,-80.87,0.15,-0.78,-0.04,-0.44,8.87,1.49,0.03,-0.01,0.02,-16.69,-35.00,-21.75,0.7609,0.6476,0.0416,0.0019,32,76,86
1749725585.1797733,359.69,-3.44,-80.94,0.04,-0.69,-0.17,-0.54,8.97,1.35,0.00,-0.00,-0.00,-9.38,-21.00,-13.06,0.7604,0.6481,0.0411,0.0020,32,76,86
1749725585.3116248,359.63,-3.44,-80.94,0.13,-0.72,-0.09,-0.45,8.93,1.44,-0.02,-0.01,0.01,-9.75,-21.00,-12.69,0.7607,0.6478,0.0412,0.0021,32,76,86
1749725585.4331136,359.88,-3.38,-80.87,0.03,-0.73,-0.10,-0.55,8.93,1.44,-0.00,-0.02,-0.02,-9.38,-21.75,-12.56,0.7609,0.6477,0.0400,0.0008,32,76,86
1749725585.5701976,0.06,-3.56,-80.81,0.02,-0.67,-0.11,-0.58,8.98,1.44,-0.02,0.00,-0.02,-9.06,-20.50,-13.00,0.7613,0.6472,0.0406,-0.0004,32,77,86
1749725585.709116,0.19,-3.69,-80.75,0.04,-0.69,-0.06,-0.58,8.98,1.47,-0.02,0.00,-0.02,-9.50,-22.06,-14.06,0.7615,0.6469,0.0414,-0.0014,32,77,86
