time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749725326.149776,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,84,90
1749725326.2854059,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,84,89
1749725326.425975,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,32,84,90
1749725326.5514421,0.00,-6.75,-81.50,0.00,-0.70,-0.04,-1.16,8.94,1.38,-0.00,0.01,-0.00,-15.56,-33.88,-22.25,0.7571,0.6486,0.0779,-0.0001,32,83,90
1749725326.693152,0.00,-6.75,-81.44,0.11,-0.74,-0.11,-1.04,8.88,1.32,-0.01,-0.01,-0.00,-15.25,-33.50,-22.25,0.7573,0.6484,0.0779,-0.0002,32,84,89
1749725326.826116,0.00,-6.75,-81.44,0.02,-0.71,-0.12,-1.13,8.91,1.31,0.00,0.00,0.00,-15.56,-33.06,-22.25,0.7574,0.6483,0.0779,-0.0002,32,83,89
1749725326.9576225,0.00,-6.75,-81.44,0.01,-0.68,-0.07,-1.14,8.94,1.36,-0.00,-0.01,0.00,-14.88,-34.25,-21.87,0.7574,0.6483,0.0778,-0.0004,32,83,89
1749725327.0935736,0.06,-6.75,-81.44,0.11,-0.67,-0.02,-1.04,8.95,1.42,-0.01,-0.00,0.00,-15.25,-34.25,-21.50,0.7576,0.6482,0.0773,-0.0006,32,83,89
1749725327.225054,0.06,-6.75,-81.44,0.07,-0.75,-0.01,-1.07,8.87,1.43,0.01,-0.02,0.00,-14.88,-33.88,-21.87,0.7576,0.6482,0.0770,-0.0009,32,83,89
1749725327.354754,0.12,-6.75,-81.44,0.13,-0.68,-0.07,-1.02,8.94,1.36,0.01,0.00,0.00,-14.88,-33.50,-22.25,0.7575,0.6483,0.0771,-0.0010,32,83,89
1749725327.4920526,0.12,-6.75,-81.44,0.07,-0.69,-0.12,-1.08,8.93,1.31,-0.00,-0.00,-0.00,-14.88,-34.25,-20.69,0.7574,0.6484,0.0771,-0.0010,32,83,90
1749725327.6203465,0.12,-6.75,-81.44,-0.03,-0.70,-0.13,-1.17,8.91,1.37,-0.01,0.00,0.00,-15.25,-33.50,-22.25,0.7573,0.6485,0.0771,-0.0010,32,83,89
1749725327.7600436,0.12,-6.75,-81.37,0.02,-0.72,-0.10,-1.13,8.90,1.34,0.01,0.01,0.00,-14.88,-32.75,-22.25,0.7576,0.6482,0.0770,-0.0011,32,83,89
1749725327.8939483,0.19,-6.75,-81.37,-0.04,-0.70,-0.05,-1.14,8.92,1.34,0.00,-0.01,0.00,-15.25,-34.25,-22.25,0.7577,0.6481,0.0766,-0.0014,32,83,89
1749725328.0337343,0.19,-6.75,-81.37,0.13,-0.66,-0.14,-1.01,8.96,1.30,0.01,-0.00,-0.00,-14.50,-33.06,-22.25,0.7578,0.6481,0.0764,-0.0015,32,83,88
1749725328.1684587,0.19,-6.75,-81.44,-0.01,-0.74,-0.10,-1.16,8.88,1.33,0.00,0.00,0.00,-15.56,-34.25,-22.25,0.7573,0.6486,0.0764,-0.0016,32,82,89
1749725328.295302,0.19,-6.75,-81.44,0.08,-0.72,-0.12,-1.07,8.90,1.31,-0.00,0.00,0.01,-14.88,-33.50,-21.37,0.7573,0.6486,0.0764,-0.0015,32,82,88
1749725328.432441,0.19,-6.75,-81.44,0.02,-0.72,-0.10,-1.13,8.90,1.33,-0.01,-0.01,0.01,-15.88,-33.06,-22.69,0.7573,0.6486,0.0764,-0.0015,32,82,89
1749725328.5650978,0.19,-6.69,-81.44,0.09,-0.65,-0.12,-1.04,8.97,1.31,0.00,0.00,0.01,-14.06,-33.06,-21.50,0.7574,0.6484,0.0762,-0.0012,32,82,89
1749725328.698845,0.19,-6.69,-81.44,0.09,-0.76,-0.15,-1.04,8.86,1.28,0.00,0.00,-0.00,-16.25,-33.88,-21.50,0.7573,0.6486,0.0762,-0.0013,32,82,89
1749725328.8330162,0.19,-6.69,-81.44,0.07,-0.69,-0.13,-1.07,8.95,1.28,0.01,0.01,-0.01,-15.25,-33.88,-22.69,0.7572,0.6487,0.0762,-0.0013,32,82,89
1749725328.9699972,0.19,-6.69,-81.50,0.01,-0.73,-0.18,-1.13,8.90,1.24,0.01,0.00,0.00,-15.88,-33.88,-21.87,0.7570,0.6489,0.0764,-0.0015,32,82,89
1749725329.1067054,0.25,-6.69,-81.50,0.10,-0.69,-0.26,-1.04,8.93,1.16,0.02,0.01,0.00,-15.56,-33.50,-22.25,0.7569,0.6490,0.0761,-0.0017,32,82,88
1749725329.2369235,0.12,-6.63,-81.44,-0.06,-0.70,-0.08,-1.20,8.92,1.36,-0.05,-0.02,0.02,-14.50,-34.25,-21.87,0.7577,0.6483,0.0754,-0.0012,32,82,88
1749725329.3660939,0.12,-6.13,-81.44,0.54,-0.46,0.00,-0.49,9.17,1.42,0.16,-0.08,0.09,-10.00,-20.50,-12.88,0.7571,0.6496,0.0696,-0.0009,32,82,89
1749725329.4977205,357.44,-6.06,-87.81,2.58,-0.80,0.07,1.53,8.93,0.44,0.88,0.97,-0.11,-9.06,-21.06,-12.56,0.7202,0.6879,0.0891,0.0159,32,82,92
1749725329.6314209,349.25,-8.50,-95.12,-0.82,-0.56,-0.10,-2.27,9.08,-0.97,0.31,1.68,-0.10,-4.75,-23.56,-7.75,0.6693,0.7167,0.1837,0.0681,32,80,93
1749725329.7629876,338.25,-10.00,-99.25,-3.52,-1.52,0.44,-5.24,7.99,-1.14,0.06,1.59,-0.39,0.50,-25.00,-3.75,0.6348,0.7094,0.2792,0.1265,32,79,94
