time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749724827.6011536,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,81,81
1749724827.7301526,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,81,81
1749724827.8678977,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,32,81,82
1749724827.9971194,0.12,1.44,-80.56,0.21,-0.67,-0.28,0.40,8.91,1.36,0.03,0.02,-0.01,-18.19,-36.06,-23.50,0.7627,0.6465,-0.0178,-0.0012,32,80,82
1749724828.1353078,0.06,1.50,-80.75,0.12,-0.67,-0.27,0.38,9.00,1.29,0.04,-0.03,0.01,-19.25,-36.88,-23.50,0.7615,0.6479,-0.0181,-0.0006,32,80,82
1749724828.2672274,0.00,1.63,-80.81,0.00,-0.70,-0.19,0.27,8.97,1.35,-0.01,-0.02,0.01,-18.19,-37.25,-22.69,0.7611,0.6483,-0.0190,-0.0004,32,80,82
1749724828.4056852,0.00,1.69,-80.81,0.08,-0.81,-0.14,0.37,8.86,1.41,-0.02,0.00,0.00,-11.06,-22.75,-13.75,0.7613,0.6481,-0.0201,-0.0004,32,80,82
1749724828.5354161,0.06,1.75,-80.87,-0.11,-0.66,-0.14,0.19,9.01,1.39,0.01,0.00,-0.01,-11.56,-21.50,-12.50,0.7609,0.6486,-0.0209,-0.0008,32,80,82
1749724828.6641226,0.12,1.75,-80.87,-0.09,-0.71,-0.11,0.21,8.96,1.43,0.02,0.00,-0.01,-11.56,-21.87,-12.88,0.7609,0.6486,-0.0212,-0.0011,32,80,82
1749724828.8031027,0.25,1.69,-80.87,-0.10,-0.74,-0.13,0.19,8.93,1.41,0.00,0.00,-0.01,-11.56,-22.25,-13.25,0.7607,0.6487,-0.0212,-0.0017,32,80,82
1749724828.9273238,0.31,1.63,-80.81,0.00,-0.69,-0.08,0.27,8.98,1.47,-0.03,-0.02,-0.02,-11.56,-21.87,-12.88,0.7612,0.6481,-0.0210,-0.0025,32,80,82
1749724829.0649805,0.44,1.56,-80.75,-0.01,-0.76,-0.16,0.25,8.91,1.40,0.00,0.01,-0.01,-11.25,-21.87,-13.38,0.7617,0.6475,-0.0211,-0.0031,32,79,82
1749724829.2036521,0.44,1.56,-80.69,-0.04,-0.67,-0.17,0.23,9.00,1.39,0.00,-0.01,0.01,-11.56,-21.50,-14.19,0.7618,0.6474,-0.0211,-0.0031,32,79,82
