time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749725531.6072643,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,74,85
1749725531.7380328,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,74,84
1749725531.8799994,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,32,74,84
1749725532.0057847,0.06,1.25,-82.31,0.01,-0.70,-0.12,0.26,8.99,1.20,0.00,-0.01,0.01,-17.75,-35.75,-21.75,0.7528,0.6581,-0.0156,-0.0006,32,73,84
1749725532.1460845,0.06,1.25,-82.25,0.04,-0.64,-0.04,0.27,9.06,1.26,-0.02,-0.00,-0.00,-17.37,-36.50,-21.00,0.7531,0.6578,-0.0159,-0.0008,32,73,85
1749725532.2775722,0.12,1.31,-82.19,-0.02,-0.67,-0.10,0.20,9.03,1.22,-0.01,-0.01,0.00,-17.75,-36.06,-20.56,0.7534,0.6573,-0.0164,-0.0012,32,74,84
1749725532.4048402,0.19,1.31,-82.19,0.02,-0.70,-0.11,0.24,9.01,1.21,-0.00,0.00,0.00,-16.69,-36.50,-21.37,0.7535,0.6572,-0.0163,-0.0012,32,73,84
1749725532.5432634,0.12,1.31,-82.19,0.03,-0.67,-0.03,0.26,9.03,1.29,0.00,0.01,0.00,-18.19,-36.50,-21.75,0.7536,0.6571,-0.0164,-0.0012,32,73,84
1749725532.667642,0.19,1.25,-82.12,-0.07,-0.71,-0.05,0.14,8.99,1.28,0.00,-0.00,0.01,-17.75,-36.50,-21.75,0.7538,0.6570,-0.0162,-0.0013,32,73,84
1749725532.8094838,0.19,1.25,-82.12,-0.03,-0.75,-0.11,0.18,8.95,1.22,-0.00,-0.01,0.01,-17.75,-36.06,-20.19,0.7540,0.6567,-0.0164,-0.0013,32,73,84
1749725532.9356964,0.12,1.31,-82.06,0.01,-0.72,-0.04,0.26,8.97,1.29,-0.01,-0.00,0.01,-17.37,-36.06,-20.56,0.7541,0.6566,-0.0167,-0.0010,32,73,84
1749725533.0650826,0.12,1.31,-82.00,0.04,-0.70,-0.01,0.27,9.00,1.34,0.02,-0.01,-0.01,-11.00,-23.06,-12.00,0.7545,0.6561,-0.0167,-0.0010,32,72,84
1749725533.2057018,0.06,1.37,-82.00,-0.01,-0.64,-0.13,0.22,9.06,1.21,-0.00,0.01,0.00,-11.00,-22.00,-13.19,0.7543,0.6563,-0.0171,-0.0008,32,73,84
1749725533.3352013,0.06,1.37,-82.00,0.03,-0.72,-0.07,0.27,8.98,1.27,0.01,0.01,0.01,-11.38,-21.56,-13.19,0.7544,0.6562,-0.0166,-0.0004,32,72,84
1749725533.4720466,0.00,1.37,-82.00,0.02,-0.68,0.00,0.26,9.02,1.35,0.01,0.00,-0.01,-11.00,-22.69,-12.75,0.7545,0.6561,-0.0166,-0.0004,32,72,84
1749725533.6018918,0.06,1.37,-82.00,-0.06,-0.72,-0.02,0.17,8.98,1.33,-0.01,0.00,-0.01,-10.56,-22.00,-14.06,0.7546,0.6560,-0.0167,-0.0004,32,72,83
1749725533.734788,0.06,1.37,-82.00,-0.05,-0.69,-0.06,0.18,9.01,1.29,0.01,-0.00,-0.00,-11.00,-21.56,-13.19,0.7546,0.6560,-0.0167,-0.0004,32,72,83
1749725533.8665092,0.06,1.37,-82.00,0.04,-0.68,-0.08,0.31,9.03,1.35,-0.02,0.01,-0.00,-11.00,-22.69,-13.19,0.7548,0.6558,-0.0165,-0.0005,32,72,83
1749725534.002559,0.12,1.31,-81.94,-0.08,-0.72,-0.08,0.14,8.97,1.28,-0.01,-0.00,-0.01,-11.00,-20.75,-14.06,0.7548,0.6557,-0.0163,-0.0009,32,72,83
1749725534.1370776,0.12,1.31,-81.94,0.02,-0.66,-0.07,0.25,9.04,1.29,0.00,0.01,0.00,-11.00,-22.00,-12.38,0.7549,0.6556,-0.0164,-0.0009,32,72,83
1749725534.266539,0.12,1.25,-81.87,0.00,-0.76,-0.06,0.19,8.94,1.30,-0.01,-0.02,-0.02,-10.56,-22.00,-14.06,0.7552,0.6553,-0.0159,-0.0013,32,72,82
