Trajectories
100
,,Patient 1:MDG,,,Patient 1:MAG,,,Patient 1:EAG,,,Patient 1:EDG,,,Patient 1:ED,,,Patient 1:EAD,,,Patient 1:MDD,,,Patient 1:MAD,,,Patient 1:FRD,,,Patient 1:FRG,,,Patient 1:FD,,,Patient 1:FAD,,,Patient 1:FAG,,,Patient 1:T,,,Patient 1:DH,,,Patient 1:F,,,Patient 1:DB,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
511,0,-592.939,-360.922,766.241,,,,,,,,,,89.4543,-794.284,1124.93,120.004,-715.752,1112.62,,,,585.67,-910.089,823.014,,,,,,,,,,,,,,,,,,,,,,,,,-101.582,-807.161,818.18
512,0,-592.626,-360.636,766.18,,,,,,,,,,89.4021,-794.312,1125,119.869,-715.699,1112.64,,,,585.609,-910.051,822.99,,,,,,,,,,,,,,,,,,,,,,,,,-102.175,-807.451,818.49
513,0,-592.545,-360.584,766.16,-535.338,-278.654,758.937,,,,,,,89.5535,-794.234,1125.07,119.73,-715.49,1112.6,,,,585.603,-910.001,823.034,,,,,,,,,,,,,,,,,,,,,,,,,-102.681,-807.7,818.767
514,0,-592.619,-360.602,766.26,-535.338,-278.606,759.351,,,,,,,89.5252,-794.231,1125.1,119.731,-715.486,1112.64,,,,585.651,-909.735,823.34,,,,,,,,,,,,,,,,,,,,,,,,,-102.976,-807.85,818.912
515,0,-592.674,-360.559,766.241,-535.4,-278.58,759.427,,,,,,,89.4545,-794.196,1125.11,119.785,-715.491,1112.7,,,,585.597,-909.585,823.426,,,,,,,,,,,,,,,,,,,,,,,,,-103.028,-807.876,818.938
516,0,-592.681,-360.522,766.287,-535.441,-278.572,759.397,,,,,,,89.4766,-794.217,1125.15,119.752,-715.452,1112.71,,,,585.587,-909.435,823.554,,,,,,,,,,,,,,,,,,,,,,,,,-102.874,-807.794,818.867
517,0,-592.808,-360.514,766.379,-535.459,-278.587,759.488,,,,,,,89.4984,-794.16,1125.15,119.742,-715.451,1112.71,,,,585.556,-909.362,823.591,,,,,,,,,,,,,,,,,,,,,,,,,-102.654,-807.69,818.737
518,0,-592.89,-360.532,766.485,-535.475,-278.585,759.536,,,,,,,89.431,-794.143,1125.11,119.693,-715.439,1112.66,,,,585.516,-909.195,823.722,,,,,,,,,,,,,,,,,,,,,,,,,-102.457,-807.593,818.626
519,0,-593.036,-360.647,766.581,-535.487,-278.578,759.54,,,,,,,89.4096,-794.155,1125.09,119.581,-715.424,1112.67,,,,585.526,-909.033,823.772,,,,,,,,,,,,,,,,,,,,,,,,,-102.343,-807.536,818.574
520,0,-592.956,-360.531,766.598,-537.077,-277.645,760.417,,,,,,,89.4235,-794.13,1125.15,119.609,-715.395,1112.72,,,,585.547,-908.937,823.871,,,,,,,,,,,,,,,,,,,,,,,,,-102.305,-807.517,818.542
521,0,-592.945,-360.548,766.604,-539.138,-276.645,760.858,,,,,,,89.4189,-794.146,1125.16,119.587,-715.356,1112.7,,,,585.593,-908.831,823.995,,,,,,,,,,,,,,,,,,,,,,,,,-102.339,-807.576,818.516
522,0,-593.051,-360.501,766.669,-540.197,-276.452,761.018,,,,,,,89.453,-794.148,1125.18,119.618,-715.393,1112.71,,,,585.602,-908.726,824.12,,,,,,,,,,,,,,,,,,,,,,,,,-102.354,-807.543,818.577
523,0,-593.016,-360.401,766.673,-540.292,-276.413,761.135,,,,,,,89.3968,-794.165,1125.2,119.556,-715.351,1112.76,,,,585.618,-908.62,824.25,,,,,,,,,,,,,,,,,,,,,,,,,-102.421,-807.573,818.617
