time,timeepoch,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,joy_axis_0,joy_axis_1,Euler_angle_0,Euler_angle_1,Euler_angle_2,odom_pos_x,odom_pos_y,odom_pos_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z
1753282734.1394331,0.0,0.08245849609375,0.72869873046875,-0.0233154296875,0.679443359375,-9.74,0.76,-0.74,0.04,-0.09,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282734.3453367,0.0,0.08575439453125,0.7314453125,-0.02642822265625,0.67596435546875,-9.74,0.75,-0.83,0.12,0.41,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282734.5499756,0.0,0.0843505859375,0.73895263671875,-0.02191162109375,0.6680908203125,-9.71,0.78,-1.04,-0.43,-0.63,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282734.8251894,0.0,0.09625244140625,0.73406982421875,-0.03436279296875,0.67132568359375,-9.73,0.77,-0.94,-0.12,0.14,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282735.1322796,0.0,0.11016845703125,0.7283935546875,-0.04486083984375,0.67474365234375,-9.73,0.81,-0.83,0.08,0.6,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282735.1336102,0.0,0.11505126953125,0.7239990234375,-0.06146240234375,0.6773681640625,-9.75,0.65,-0.73,0.07,-0.55,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282735.3356574,0.0,0.1085205078125,0.72442626953125,-0.06549072265625,0.6776123046875,-9.76,0.51,-0.71,0.28,0.2,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282735.3367548,0.0,0.09039306640625,0.7501220703125,-0.07843017578125,0.65032958984375,-9.7,0.0,-1.39,-0.16,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282735.540865,0.0,0.0733642578125,0.753662109375,-0.0780029296875,0.64849853515625,-9.69,-0.21,-1.43,-0.05,1.33,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282735.5419698,0.0,0.09033203125,0.75726318359375,-0.099609375,0.63909912109375,-9.66,-0.34,-1.6,-0.17,-0.06,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
