time,timeepoch,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,joy_axis_0,joy_axis_1,Euler_angle_0,Euler_angle_1,Euler_angle_2,odom_pos_x,odom_pos_y,odom_pos_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z
1753282546.605592,0.0,0.0223388671875,0.71466064453125,0.0137939453125,0.698974609375,-9.79,0.5,-0.22,-0.16,-0.11,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282546.7553995,0.0,0.0218505859375,0.71405029296875,0.0142822265625,0.69964599609375,-9.79,0.5,-0.2,-0.02,-0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282546.9051056,0.0,0.02203369140625,0.7138671875,0.0142822265625,0.6998291015625,-9.79,0.5,-0.19,0.07,-0.02,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282547.0545092,0.0,0.02276611328125,0.714111328125,0.01397705078125,0.69952392578125,-9.79,0.5,-0.2,-0.04,0.04,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282547.2050142,0.0,0.02239990234375,0.71441650390625,0.01458740234375,0.69921875,-9.79,0.51,-0.21,-0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282547.3542662,0.0,0.022705078125,0.71417236328125,0.013916015625,0.699462890625,-9.79,0.5,-0.2,0.07,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282547.5046027,0.0,0.0234375,0.7138671875,0.01324462890625,0.69976806640625,-9.79,0.5,-0.19,0.07,0.02,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282547.654968,0.0,0.02288818359375,0.71380615234375,0.0133056640625,0.6998291015625,-9.79,0.5,-0.19,-0.04,-0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282547.8046067,0.0,0.0228271484375,0.7137451171875,0.0145263671875,0.69989013671875,-9.79,0.51,-0.19,0.0,-0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282547.955464,0.0,0.022705078125,0.7135009765625,0.01507568359375,0.70013427734375,-9.79,0.52,-0.18,0.02,-0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282548.104703,0.0,0.0225830078125,0.71368408203125,0.015625,0.699951171875,-9.79,0.52,-0.19,0.01,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282548.2557597,0.0,0.02203369140625,0.71368408203125,0.0162353515625,0.699951171875,-9.79,0.53,-0.19,0.09,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282548.4052505,0.0,0.0218505859375,0.71392822265625,0.01611328125,0.69970703125,-9.79,0.52,-0.19,0.03,0.04,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282548.5561488,0.0,0.02239990234375,0.713623046875,0.01605224609375,0.70001220703125,-9.79,0.53,-0.19,0.0,-0.02,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282548.70542,0.0,0.02252197265625,0.71356201171875,0.0162353515625,0.70001220703125,-9.79,0.53,-0.19,0.0,0.01,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282548.8547783,0.0,0.02203369140625,0.71319580078125,0.0164794921875,0.70037841796875,-9.79,0.53,-0.17,-0.03,-0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282549.0045419,0.0,0.02191162109375,0.713134765625,0.0174560546875,0.70050048828125,-9.78,0.54,-0.17,-0.07,-0.08,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282549.1571155,0.0,0.02130126953125,0.71356201171875,0.01751708984375,0.7000732421875,-9.79,0.53,-0.18,-0.18,-0.15,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282549.306371,0.0,0.02032470703125,0.713623046875,0.017333984375,0.70001220703125,-9.79,0.52,-0.18,-0.16,-0.06,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282549.455071,0.0,0.020751953125,0.7130126953125,0.017333984375,0.70062255859375,-9.79,0.52,-0.17,-0.01,-0.13,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282549.6070528,0.0,0.0198974609375,0.71337890625,0.01763916015625,0.70025634765625,-9.79,0.51,-0.18,-0.09,0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282549.7582202,0.0,0.01947021484375,0.71246337890625,0.01837158203125,0.701171875,-9.79,0.52,-0.15,-0.01,-0.17,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282549.9094365,0.0,0.02008056640625,0.712158203125,0.017822265625,0.7015380859375,-9.79,0.52,-0.14,0.03,0.11,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282550.0555604,data: 1753276217.528432,0.0189208984375,0.712158203125,0.01861572265625,0.70147705078125,-9.79,0.51,-0.14,0.14,0.16,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282550.2060053,data: 1753276217.678293,0.01959228515625,0.71197509765625,0.0179443359375,0.70172119140625,-9.79,0.51,-0.14,-0.1,-0.09,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282550.354757,data: 1753276217.8182175,0.02008056640625,0.71173095703125,0.01806640625,0.70196533203125,-9.79,0.52,-0.13,-0.12,-0.01,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282550.504683,data: 1753276217.9682202,0.0201416015625,0.71124267578125,0.0185546875,0.702392578125,-9.79,0.53,-0.12,0.13,-0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282550.6549532,data: 1753276218.1281724,0.0198974609375,0.711669921875,0.01898193359375,0.70196533203125,-9.79,0.53,-0.13,0.01,0.1,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
