time,timeepoch,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,joy_axis_0,joy_axis_1,Euler_angle_0,Euler_angle_1,Euler_angle_2,odom_pos_x,odom_pos_y,odom_pos_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z
1753282437.043063,0.0,-0.1192626953125,0.7098388671875,0.00921630859375,0.69415283203125,-9.68,-1.49,-0.35,-0.13,-0.1,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282437.2475219,0.0,-0.1192626953125,0.70916748046875,0.00994873046875,0.69482421875,-9.68,-1.48,-0.33,0.13,-0.03,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282437.248618,0.0,-0.1199951171875,0.7086181640625,0.0101318359375,0.69525146484375,-9.68,-1.49,-0.32,-0.07,-0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282437.4523969,0.0,-0.1207275390625,0.7083740234375,0.01019287109375,0.69537353515625,-9.68,-1.5,-0.32,-0.23,-0.14,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282437.6564574,0.0,-0.1217041015625,0.70849609375,0.01092529296875,0.695068359375,-9.68,-1.5,-0.32,-0.13,-0.12,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282437.6576052,0.0,-0.122314453125,0.70819091796875,0.01171875,0.69525146484375,-9.68,-1.5,-0.32,-0.16,-0.07,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282437.8615403,0.0,-0.12274169921875,0.70867919921875,0.01300048828125,0.69464111328125,-9.68,-1.49,-0.33,-0.03,-0.17,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282438.065961,0.0,-0.12249755859375,0.708740234375,0.01275634765625,0.69464111328125,-9.68,-1.49,-0.33,0.05,-0.03,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282438.2718983,0.0,-0.12261962890625,0.7091064453125,0.01312255859375,0.6942138671875,-9.68,-1.48,-0.35,-0.2,-0.2,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282438.2730353,0.0,-0.12127685546875,0.70953369140625,0.013671875,0.69403076171875,-9.69,-1.46,-0.35,0.0,-0.05,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1753282438.47663,0.0,-0.12054443359375,0.71142578125,0.01611328125,0.692138671875,-9.69,-1.41,-0.4,-0.09,-0.16,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
