Trajectories
100
,,Patient 1:MDG,,,Patient 1:MAG,,,Patient 1:EAG,,,Patient 1:EDG,,,Patient 1:ED,,,Patient 1:EAD,,,Patient 1:MDD,,,Patient 1:MAD,,,Patient 1:FRD,,,Patient 1:FRG,,,Patient 1:FD,,,Patient 1:FAD,,,Patient 1:FAG,,,Patient 1:T,,,Patient 1:DH,,,Patient 1:F,,,Patient 1:DB,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
449,0,-1564.01,-31.7515,780.225,-1471.8,-37.4172,791.594,-1543.7,-441.639,1047.81,-1615.58,-461.194,1065.91,-1532.68,-821.724,1054.51,,,,,,,-1418.94,-1255.89,795.264,,,,,,,,,,,,,,,,-1434.46,-610.784,1351.7,-1674.15,-642.446,826.502,,,,,,
450,0,-1564.3,-31.9077,780.274,-1471.95,-37.4544,791.547,-1543.67,-441.598,1047.78,-1615.5,-461.067,1065.8,-1532.7,-821.748,1054.54,,,,,,,-1418.71,-1255.78,795.322,,,,,,,,,,,,,,,,-1434.47,-610.714,1351.65,-1674.19,-642.444,826.431,,,,,,
451,0,-1564.4,-31.9747,780.363,-1472.02,-37.4188,791.497,-1543.74,-441.601,1047.77,-1615.56,-461.079,1065.82,-1532.71,-821.757,1054.54,,,,,,,-1418.42,-1255.72,795.334,,,,,,,,,,,,,,,,-1434.52,-610.697,1351.64,-1674.3,-642.501,826.495,,,,,,
452,0,-1564.55,-32.0968,780.415,-1472.19,-37.4576,791.462,-1543.74,-441.605,1047.78,-1615.55,-461.054,1065.78,-1532.77,-821.729,1054.58,,,,,,,-1418.17,-1255.63,795.331,,,,,,,,,,,,,,,,-1434.45,-610.569,1351.63,-1674.29,-642.446,826.37,,,,,,
453,0,-1564.54,-31.7979,780.244,-1472.41,-37.4572,791.46,-1543.79,-441.611,1047.72,-1615.57,-461.008,1065.69,-1532.78,-821.709,1054.62,,,,,,,-1417.91,-1255.54,795.46,,,,,,,,,,,,,,,,-1434.55,-610.542,1351.62,-1674.36,-642.521,826.304,,,,,,
454,0,-1564.66,-31.7599,780.207,-1472.51,-37.3182,791.369,-1543.84,-441.597,1047.69,-1615.63,-461.092,1065.73,-1532.72,-821.628,1054.56,,,,,,,-1417.62,-1255.49,795.569,,,,,,,,,,,,,,,,-1434.57,-610.477,1351.58,-1674.41,-642.537,826.249,,,,,,
455,0,-1564.89,-31.8639,780.188,-1472.59,-37.2612,791.294,-1543.91,-441.582,1047.71,-1615.64,-461.041,1065.63,-1532.76,-821.613,1054.56,,,,,,,-1417.25,-1255.42,795.705,,,,,,,,,,,,,,,,-1434.65,-610.363,1351.62,-1674.46,-642.593,826.304,,,,,,
456,0,-1564.99,-31.7988,780.119,-1472.63,-37.1846,791.236,-1543.91,-441.578,1047.69,-1615.64,-461.03,1065.61,-1532.81,-821.661,1054.6,,,,,,,-1416.93,-1255.36,795.78,,,,,,,,,,,,,,,,-1434.68,-610.31,1351.6,-1674.51,-642.608,826.251,,,,,,
457,0,-1565.16,-31.7956,780.11,-1472.65,-37.0857,791.158,-1544,-441.645,1047.69,-1615.69,-461.044,1065.57,-1532.82,-821.665,1054.6,,,,,,,-1416.69,-1255.33,795.842,,,,,,,,,,,,,,,,-1434.74,-610.304,1351.6,-1674.51,-642.554,826.122,,,,,,
458,0,-1565.29,-31.7739,780.081,-1472.72,-37.0224,791.179,-1543.98,-441.617,1047.66,-1615.72,-460.977,1065.46,-1532.78,-821.627,1054.57,,,,,,,-1416.51,-1255.22,795.897,,,,,,,,,,,,,,,,-1434.82,-610.221,1351.6,-1674.56,-642.541,826.117,,,,,,
459,0,-1565.28,-31.5295,779.949,-1472.79,-37.0206,791.213,-1544.04,-441.593,1047.67,-1615.76,-461.063,1065.47,-1532.57,-821.333,1054.4,,,,,,,-1416.31,-1255.07,796.059,,,,,,,,,,,,,,,,-1434.93,-610.201,1351.58,-1674.56,-642.56,826.058,,,,,,
460,0,-1565.34,-31.4868,779.985,-1472.84,-37.0472,791.182,-1544.1,-441.582,1047.65,-1615.74,-460.955,1065.43,-1532.59,-821.352,1054.44,,,,,,,-1416.11,-1254.87,796.159,,,,,,,,,,,,,,,,-1434.96,-610.124,1351.59,-1674.55,-642.482,825.987,,,,,,
461,0,-1565.48,-31.4934,780.007,-1472.84,-36.9011,791.177,-1543.63,-441.568,1047.81,-1615.79,-461.004,1065.45,-1532.56,-821.275,1054.43,,,,,,,-1415.84,-1254.73,796.313,,,,,,,,,,,,,,,,-1435.02,-610.115,1351.59,-1674.54,-642.49,825.918,,,,,,
462,0,-1565.47,-31.4487,779.987,-1472.84,-36.8438,791.213,-1544.1,-441.481,1047.64,-1615.76,-460.863,1065.33,-1532.51,-821.219,1054.39,,,,,,,-1415.6,-1254.65,796.459,,,,,,,,,,,,,,,,-1435.16,-610.106,1351.64,-1674.59,-642.509,825.881,,,,,,
463,0,-1565.52,-31.4185,779.965,-1472.85,-36.8221,791.262,-1544.13,-441.484,1047.62,-1615.75,-460.852,1065.32,-1532.49,-821.2,1054.37,,,,,,,-1415.35,-1254.62,796.518,,,,,,,,,,,,,,,,-1435.18,-610.04,1351.6,-1674.59,-642.511,825.883,,,,,,
464,0,-1565.62,-31.4192,780.04,-1472.93,-36.7912,791.339,-1544.09,-441.482,1047.57,-1615.73,-460.804,1065.3,-1532.5,-821.188,1054.44,,,,,,,-1415.02,-1254.55,796.583,,,,,,,,,,,,,,,,-1435.25,-610.02,1351.65,-1674.57,-642.486,825.873,,,,,,
